year,Phebe
1880,15
1881,20
1882,25
1883,13
1884,10
1885,32
1886,19
1887,20
1888,17
1889,30
1890,20
1891,24
1892,22
1893,21
1894,8
1895,22
1896,19
1897,18
1898,15
1899,12
1900,22
1901,13
1902,15
1903,11
1904,13
1905,10
1906,10
1907,15
1908,10
1909,8
1910,10
1911,18
1912,19
1913,22
1914,25
1915,23
1916,30
1917,35
1918,34
1919,28
1920,27
1921,33
1922,18
1923,23
1924,33
1925,30
1926,15
1927,23
1928,22
1929,14
1930,27
1931,20
1932,21
1933,22
1934,17
1935,19
1936,18
1937,13
1938,18
1939,16
1940,14
1941,22
1942,16
1943,24
1944,28
1945,13
1946,15
1947,21
1948,19
1949,17
1950,13
1951,13
1952,13
1953,13
1954,18
1955,13
1956,8
1957,15
1958,12
1959,14
1960,13
1961,22
1962,11
1963,13
1964,6
1965,12
1966,15
1967,11
1968,18
1969,26
1970,21
1971,11
1972,12
1973,20
1974,23
1975,16
1976,16
1977,14
1978,20
1979,14
1980,16
1981,14
1982,19
1983,11
1984,10
1985,14
1986,17
1987,13
1988,13
1989,11
1990,15
1991,15
1992,16
1993,11
1994,10
1995,16
1996,22
1997,21
1998,21
1999,21
2000,22
2001,22
2002,29
2003,34
2004,38
2005,41
2006,36
2007,27
2008,33
2009,41
2010,35
2011,45
2012,32
