year,Pina
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,5
1891,0
1892,0
1893,5
1894,0
1895,0
1896,5
1897,0
1898,0
1899,0
1900,5
1901,0
1902,0
1903,0
1904,0
1905,6
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,8
1913,5
1914,7
1915,5
1916,9
1917,9
1918,6
1919,6
1920,8
1921,9
1922,9
1923,9
1924,8
1925,6
1926,7
1927,5
1928,0
1929,7
1930,6
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,5
1943,0
1944,0
1945,0
1946,0
1947,5
1948,0
1949,5
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,6
1958,7
1959,0
1960,9
1961,5
1962,6
1963,7
1964,9
1965,6
1966,9
1967,10
1968,5
1969,9
1970,9
1971,12
1972,6
1973,5
1974,0
1975,12
1976,0
1977,6
1978,5
1979,6
1980,0
1981,8
1982,6
1983,0
1984,7
1985,0
1986,0
1987,5
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
