year,Phylliss
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,5
1918,5
1919,0
1920,0
1921,5
1922,6
1923,8
1924,8
1925,9
1926,15
1927,15
1928,11
1929,8
1930,10
1931,8
1932,11
1933,13
1934,13
1935,11
1936,10
1937,15
1938,12
1939,19
1940,6
1941,13
1942,11
1943,13
1944,15
1945,16
1946,18
1947,15
1948,20
1949,18
1950,25
1951,15
1952,17
1953,9
1954,8
1955,12
1956,14
1957,18
1958,15
1959,19
1960,14
1961,15
1962,8
1963,12
1964,9
1965,11
1966,8
1967,0
1968,0
1969,0
1970,6
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
