year,Pete (F),Pete (M)
1880,0.000000,0.000248
1881,0.000000,0.000296
1882,0.000000,0.000271
1883,0.000000,0.000198
1884,0.000000,0.000333
1885,0.000000,0.000233
1886,0.000000,0.000211
1887,0.000000,0.000190
1888,0.000000,0.000274
1889,0.000000,0.000208
1890,0.000000,0.000199
1891,0.000000,0.000185
1892,0.000000,0.000221
1893,0.000000,0.000197
1894,0.000000,0.000201
1895,0.000000,0.000188
1896,0.000000,0.000176
1897,0.000000,0.000219
1898,0.000000,0.000139
1899,0.000000,0.000218
1900,0.000000,0.000258
1901,0.000000,0.000228
1902,0.000000,0.000194
1903,0.000000,0.000181
1904,0.000000,0.000176
1905,0.000000,0.000203
1906,0.000000,0.000187
1907,0.000000,0.000262
1908,0.000000,0.000268
1909,0.000000,0.000235
1910,0.000000,0.000264
1911,0.000000,0.000222
1912,0.000000,0.000266
1913,0.000000,0.000299
1914,0.000000,0.000305
1915,0.000000,0.000290
1916,0.000003,0.000301
1917,0.000002,0.000318
1918,0.000000,0.000294
1919,0.000003,0.000298
1920,0.000000,0.000282
1921,0.000003,0.000286
1922,0.000002,0.000281
1923,0.000002,0.000271
1924,0.000002,0.000263
1925,0.000002,0.000278
1926,0.000003,0.000280
1927,0.000003,0.000258
1928,0.000000,0.000272
1929,0.000003,0.000266
1930,0.000000,0.000260
1931,0.000002,0.000280
1932,0.000003,0.000251
1933,0.000004,0.000257
1934,0.000000,0.000290
1935,0.000000,0.000281
1936,0.000000,0.000269
1937,0.000000,0.000239
1938,0.000004,0.000232
1939,0.000000,0.000246
1940,0.000003,0.000223
1941,0.000000,0.000219
1942,0.000000,0.000205
1943,0.000000,0.000227
1944,0.000002,0.000241
1945,0.000000,0.000218
1946,0.000002,0.000213
1947,0.000000,0.000205
1948,0.000000,0.000189
1949,0.000000,0.000166
1950,0.000000,0.000160
1951,0.000000,0.000146
1952,0.000000,0.000134
1953,0.000000,0.000137
1954,0.000001,0.000125
1955,0.000001,0.000137
1956,0.000000,0.000139
1957,0.000000,0.000155
1958,0.000000,0.000183
1959,0.000000,0.000185
1960,0.000000,0.000182
1961,0.000000,0.000169
1962,0.000001,0.000156
1963,0.000000,0.000154
1964,0.000001,0.000141
1965,0.000000,0.000124
1966,0.000002,0.000112
1967,0.000001,0.000112
1968,0.000000,0.000106
1969,0.000000,0.000098
1970,0.000000,0.000104
1971,0.000002,0.000105
1972,0.000002,0.000100
1973,0.000002,0.000093
1974,0.000000,0.000088
1975,0.000000,0.000085
1976,0.000000,0.000086
1977,0.000003,0.000082
1978,0.000002,0.000066
1979,0.000000,0.000081
1980,0.000000,0.000064
1981,0.000000,0.000068
1982,0.000000,0.000059
1983,0.000000,0.000059
1984,0.000000,0.000056
1985,0.000000,0.000051
1986,0.000000,0.000052
1987,0.000000,0.000048
1988,0.000000,0.000048
1989,0.000000,0.000047
1990,0.000000,0.000043
1991,0.000000,0.000043
1992,0.000000,0.000033
1993,0.000000,0.000039
1994,0.000000,0.000035
1995,0.000000,0.000032
1996,0.000000,0.000035
1997,0.000000,0.000033
1998,0.000000,0.000033
1999,0.000000,0.000030
2000,0.000000,0.000026
2001,0.000000,0.000024
2002,0.000000,0.000026
2003,0.000000,0.000025
2004,0.000000,0.000023
2005,0.000000,0.000021
2006,0.000000,0.000022
2007,0.000000,0.000022
2008,0.000000,0.000022
2009,0.000000,0.000022
2010,0.000000,0.000018
2011,0.000000,0.000018
2012,0.000000,0.000018
2013,0.000000,0.000017
