year,Philomena
1880,10
1881,11
1882,10
1883,15
1884,10
1885,14
1886,15
1887,9
1888,24
1889,22
1890,21
1891,16
1892,28
1893,24
1894,25
1895,32
1896,34
1897,36
1898,33
1899,47
1900,38
1901,40
1902,47
1903,66
1904,48
1905,73
1906,58
1907,75
1908,96
1909,72
1910,81
1911,109
1912,139
1913,156
1914,207
1915,284
1916,296
1917,290
1918,265
1919,244
1920,269
1921,295
1922,308
1923,299
1924,292
1925,270
1926,261
1927,266
1928,225
1929,226
1930,178
1931,156
1932,133
1933,114
1934,109
1935,80
1936,76
1937,80
1938,81
1939,63
1940,65
1941,71
1942,67
1943,54
1944,48
1945,33
1946,46
1947,57
1948,57
1949,49
1950,59
1951,53
1952,59
1953,64
1954,56
1955,52
1956,62
1957,39
1958,44
1959,45
1960,43
1961,25
1962,31
1963,22
1964,17
1965,24
1966,23
1967,18
1968,14
1969,23
1970,19
1971,18
1972,6
1973,9
1974,11
1975,12
1976,7
1977,9
1978,15
1979,8
1980,7
1981,7
1982,7
1983,12
1984,0
1985,8
1986,7
1987,6
1988,9
1989,9
1990,5
1991,12
1992,9
1993,7
1994,8
1995,9
1996,15
1997,15
1998,21
1999,20
2000,17
2001,15
2002,17
2003,18
2004,27
2005,23
2006,25
2007,32
2008,24
2009,19
2010,31
2011,41
2012,40
