year,Paulino
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,8
1915,11
1916,0
1917,6
1918,7
1919,0
1920,8
1921,8
1922,9
1923,12
1924,14
1925,19
1926,11
1927,11
1928,24
1929,9
1930,8
1931,17
1932,11
1933,13
1934,12
1935,16
1936,18
1937,7
1938,6
1939,8
1940,0
1941,11
1942,9
1943,7
1944,7
1945,8
1946,0
1947,9
1948,12
1949,10
1950,13
1951,9
1952,10
1953,12
1954,9
1955,13
1956,8
1957,9
1958,9
1959,11
1960,11
1961,14
1962,15
1963,13
1964,11
1965,15
1966,11
1967,14
1968,13
1969,22
1970,21
1971,12
1972,18
1973,21
1974,17
1975,20
1976,22
1977,14
1978,14
1979,16
1980,20
1981,23
1982,16
1983,18
1984,17
1985,25
1986,28
1987,17
1988,23
1989,29
1990,22
1991,26
1992,29
1993,30
1994,25
1995,37
1996,14
1997,28
1998,26
1999,24
2000,24
2001,35
2002,19
2003,36
2004,28
2005,24
2006,27
2007,21
2008,23
2009,24
2010,23
2011,18
2012,22
