year,Pasquale (F),Pasquale (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000018
1895,0.000000,0.000017
1896,0.000000,0.000017
1897,0.000000,0.000020
1898,0.000000,0.000021
1899,0.000000,0.000015
1900,0.000000,0.000044
1901,0.000000,0.000032
1902,0.000000,0.000039
1903,0.000000,0.000021
1904,0.000000,0.000050
1905,0.000000,0.000035
1906,0.000000,0.000079
1907,0.000000,0.000056
1908,0.000000,0.000061
1909,0.000000,0.000072
1910,0.000000,0.000078
1911,0.000000,0.000115
1912,0.000000,0.000137
1913,0.000000,0.000120
1914,0.000000,0.000160
1915,0.000000,0.000142
1916,0.000000,0.000126
1917,0.000000,0.000131
1918,0.000000,0.000115
1919,0.000000,0.000092
1920,0.000000,0.000092
1921,0.000000,0.000102
1922,0.000000,0.000110
1923,0.000000,0.000089
1924,0.000000,0.000101
1925,0.000000,0.000088
1926,0.000000,0.000093
1927,0.000000,0.000083
1928,0.000000,0.000082
1929,0.000000,0.000078
1930,0.000000,0.000074
1931,0.000000,0.000067
1932,0.000000,0.000062
1933,0.000000,0.000060
1934,0.000000,0.000049
1935,0.000000,0.000048
1936,0.000000,0.000053
1937,0.000000,0.000053
1938,0.000000,0.000052
1939,0.000000,0.000049
1940,0.000000,0.000047
1941,0.000000,0.000055
1942,0.000000,0.000043
1943,0.000000,0.000043
1944,0.000000,0.000030
1945,0.000000,0.000034
1946,0.000000,0.000034
1947,0.000000,0.000029
1948,0.000000,0.000031
1949,0.000000,0.000025
1950,0.000000,0.000026
1951,0.000000,0.000024
1952,0.000000,0.000027
1953,0.000000,0.000019
1954,0.000000,0.000016
1955,0.000000,0.000016
1956,0.000000,0.000015
1957,0.000000,0.000018
1958,0.000000,0.000016
1959,0.000000,0.000019
1960,0.000000,0.000019
1961,0.000000,0.000021
1962,0.000000,0.000023
1963,0.000000,0.000019
1964,0.000000,0.000022
1965,0.000000,0.000023
1966,0.000000,0.000025
1967,0.000000,0.000026
1968,0.000000,0.000027
1969,0.000000,0.000024
1970,0.000000,0.000023
1971,0.000000,0.000023
1972,0.000000,0.000024
1973,0.000000,0.000026
1974,0.000000,0.000021
1975,0.000000,0.000021
1976,0.000000,0.000021
1977,0.000000,0.000017
1978,0.000000,0.000016
1979,0.000000,0.000018
1980,0.000000,0.000016
1981,0.000000,0.000018
1982,0.000000,0.000015
1983,0.000000,0.000012
1984,0.000000,0.000013
1985,0.000000,0.000012
1986,0.000000,0.000012
1987,0.000000,0.000013
1988,0.000000,0.000016
1989,0.000000,0.000009
1990,0.000000,0.000010
1991,0.000000,0.000008
1992,0.000000,0.000011
1993,0.000000,0.000008
1994,0.000000,0.000010
1995,0.000000,0.000010
1996,0.000000,0.000009
1997,0.000000,0.000010
1998,0.000000,0.000008
1999,0.000000,0.000007
2000,0.000000,0.000009
2001,0.000000,0.000011
2002,0.000000,0.000008
2003,0.000000,0.000006
2004,0.000000,0.000004
2005,0.000000,0.000005
2006,0.000000,0.000007
2007,0.000000,0.000006
2008,0.000000,0.000006
2009,0.000000,0.000004
2010,0.000000,0.000005
2011,0.000000,0.000003
2012,0.000000,0.000005
2013,0.000000,0.000005
