year,Pius
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,8
1912,0
1913,5
1914,9
1915,6
1916,0
1917,10
1918,12
1919,9
1920,17
1921,15
1922,15
1923,12
1924,14
1925,15
1926,11
1927,19
1928,11
1929,10
1930,8
1931,11
1932,6
1933,0
1934,10
1935,7
1936,6
1937,0
1938,6
1939,8
1940,6
1941,0
1942,6
1943,5
1944,6
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,7
1953,0
1954,10
1955,5
1956,5
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,5
1983,8
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,5
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,7
2003,6
2004,0
2005,0
2006,0
2007,0
2008,5
2009,6
2010,8
2011,6
2012,0
