year,Patrina
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,10
1916,8
1917,8
1918,7
1919,11
1920,11
1921,13
1922,9
1923,0
1924,6
1925,11
1926,10
1927,0
1928,9
1929,10
1930,0
1931,0
1932,6
1933,7
1934,6
1935,5
1936,0
1937,0
1938,0
1939,0
1940,0
1941,8
1942,0
1943,0
1944,6
1945,6
1946,9
1947,11
1948,8
1949,6
1950,11
1951,9
1952,9
1953,13
1954,9
1955,15
1956,13
1957,12
1958,27
1959,18
1960,18
1961,32
1962,51
1963,49
1964,58
1965,51
1966,56
1967,54
1968,65
1969,75
1970,75
1971,94
1972,73
1973,88
1974,66
1975,62
1976,73
1977,52
1978,47
1979,67
1980,40
1981,51
1982,46
1983,32
1984,15
1985,31
1986,31
1987,30
1988,26
1989,35
1990,25
1991,21
1992,12
1993,19
1994,14
1995,7
1996,11
1997,9
1998,5
1999,7
2000,13
2001,9
2002,7
2003,7
2004,9
2005,9
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
