year,Pearlene
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,5
1907,5
1908,0
1909,0
1910,13
1911,8
1912,13
1913,8
1914,14
1915,15
1916,17
1917,24
1918,35
1919,21
1920,24
1921,28
1922,29
1923,34
1924,35
1925,35
1926,26
1927,40
1928,39
1929,41
1930,41
1931,46
1932,45
1933,35
1934,60
1935,58
1936,38
1937,49
1938,64
1939,61
1940,48
1941,40
1942,58
1943,46
1944,58
1945,33
1946,40
1947,59
1948,53
1949,45
1950,43
1951,33
1952,53
1953,40
1954,33
1955,39
1956,29
1957,29
1958,24
1959,26
1960,16
1961,14
1962,13
1963,16
1964,17
1965,11
1966,10
1967,8
1968,0
1969,0
1970,9
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,8
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
