year,Patrica
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,5
1912,5
1913,11
1914,13
1915,6
1916,10
1917,13
1918,24
1919,24
1920,26
1921,23
1922,29
1923,32
1924,41
1925,38
1926,45
1927,54
1928,37
1929,45
1930,58
1931,57
1932,55
1933,69
1934,68
1935,58
1936,80
1937,69
1938,97
1939,120
1940,93
1941,127
1942,114
1943,130
1944,110
1945,122
1946,159
1947,168
1948,155
1949,166
1950,226
1951,227
1952,221
1953,203
1954,237
1955,227
1956,263
1957,281
1958,259
1959,257
1960,270
1961,270
1962,306
1963,271
1964,295
1965,250
1966,250
1967,218
1968,170
1969,161
1970,164
1971,166
1972,128
1973,134
1974,117
1975,87
1976,90
1977,64
1978,74
1979,59
1980,47
1981,53
1982,45
1983,58
1984,46
1985,33
1986,28
1987,32
1988,34
1989,28
1990,25
1991,22
1992,28
1993,11
1994,13
1995,16
1996,14
1997,17
1998,10
1999,12
2000,9
2001,14
2002,11
2003,0
2004,6
2005,5
2006,14
2007,9
2008,7
2009,5
2010,0
2011,0
2012,0
