year,Phyliss
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,5
1910,0
1911,7
1912,9
1913,8
1914,16
1915,13
1916,16
1917,17
1918,29
1919,16
1920,31
1921,35
1922,34
1923,45
1924,29
1925,41
1926,34
1927,39
1928,32
1929,38
1930,33
1931,49
1932,41
1933,37
1934,29
1935,44
1936,46
1937,38
1938,47
1939,43
1940,43
1941,54
1942,51
1943,47
1944,46
1945,49
1946,60
1947,69
1948,61
1949,61
1950,68
1951,70
1952,56
1953,57
1954,59
1955,54
1956,50
1957,55
1958,36
1959,44
1960,36
1961,53
1962,49
1963,48
1964,32
1965,34
1966,33
1967,21
1968,17
1969,13
1970,13
1971,8
1972,7
1973,5
1974,5
1975,11
1976,6
1977,5
1978,0
1979,0
1980,6
1981,7
1982,0
1983,6
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
