year,Penny (F),Penny (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000023,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000020,0.000000
1889,0.000000,0.000000
1890,0.000020,0.000000
1891,0.000000,0.000000
1892,0.000018,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000014,0.000000
1898,0.000018,0.000000
1899,0.000015,0.000000
1900,0.000011,0.000000
1901,0.000020,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000017,0.000000
1905,0.000019,0.000000
1906,0.000012,0.000000
1907,0.000013,0.000000
1908,0.000014,0.000000
1909,0.000010,0.000000
1910,0.000012,0.000000
1911,0.000008,0.000000
1912,0.000009,0.000000
1913,0.000010,0.000000
1914,0.000009,0.000000
1915,0.000007,0.000003
1916,0.000010,0.000003
1917,0.000007,0.000000
1918,0.000010,0.000003
1919,0.000015,0.000000
1920,0.000011,0.000002
1921,0.000015,0.000000
1922,0.000013,0.000000
1923,0.000030,0.000000
1924,0.000022,0.000000
1925,0.000030,0.000000
1926,0.000023,0.000000
1927,0.000020,0.000002
1928,0.000023,0.000000
1929,0.000017,0.000000
1930,0.000014,0.000000
1931,0.000014,0.000000
1932,0.000011,0.000000
1933,0.000020,0.000000
1934,0.000025,0.000000
1935,0.000035,0.000000
1936,0.000048,0.000003
1937,0.000077,0.000002
1938,0.000106,0.000002
1939,0.000172,0.000003
1940,0.000214,0.000004
1941,0.000261,0.000002
1942,0.000363,0.000003
1943,0.000426,0.000002
1944,0.000448,0.000002
1945,0.000426,0.000000
1946,0.000515,0.000004
1947,0.000584,0.000003
1948,0.000539,0.000000
1949,0.000530,0.000002
1950,0.000499,0.000001
1951,0.000565,0.000003
1952,0.000550,0.000003
1953,0.000559,0.000003
1954,0.000537,0.000002
1955,0.000551,0.000001
1956,0.000569,0.000002
1957,0.000725,0.000002
1958,0.000861,0.000003
1959,0.000903,0.000002
1960,0.001036,0.000003
1961,0.001120,0.000002
1962,0.001239,0.000006
1963,0.001295,0.000004
1964,0.001131,0.000004
1965,0.001075,0.000003
1966,0.000894,0.000002
1967,0.000828,0.000004
1968,0.000762,0.000003
1969,0.000679,0.000003
1970,0.000595,0.000004
1971,0.000582,0.000004
1972,0.000506,0.000003
1973,0.000488,0.000004
1974,0.000386,0.000002
1975,0.000339,0.000000
1976,0.000286,0.000000
1977,0.000269,0.000000
1978,0.000236,0.000000
1979,0.000210,0.000000
1980,0.000161,0.000000
1981,0.000139,0.000000
1982,0.000108,0.000000
1983,0.000085,0.000000
1984,0.000080,0.000000
1985,0.000076,0.000000
1986,0.000059,0.000000
1987,0.000047,0.000000
1988,0.000041,0.000000
1989,0.000041,0.000000
1990,0.000030,0.000000
1991,0.000026,0.000000
1992,0.000024,0.000000
1993,0.000023,0.000000
1994,0.000022,0.000000
1995,0.000018,0.000000
1996,0.000017,0.000000
1997,0.000017,0.000000
1998,0.000016,0.000000
1999,0.000015,0.000000
2000,0.000014,0.000000
2001,0.000010,0.000000
2002,0.000013,0.000000
2003,0.000012,0.000000
2004,0.000014,0.000000
2005,0.000013,0.000000
2006,0.000015,0.000000
2007,0.000020,0.000000
2008,0.000023,0.000000
2009,0.000027,0.000000
2010,0.000041,0.000000
2011,0.000045,0.000000
2012,0.000063,0.000000
