year,Pascual
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,5
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,5
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,12
1913,11
1914,10
1915,17
1916,11
1917,12
1918,15
1919,22
1920,25
1921,24
1922,27
1923,34
1924,27
1925,24
1926,26
1927,28
1928,23
1929,21
1930,28
1931,30
1932,26
1933,20
1934,27
1935,23
1936,13
1937,20
1938,22
1939,21
1940,18
1941,13
1942,11
1943,13
1944,15
1945,20
1946,30
1947,15
1948,32
1949,17
1950,23
1951,22
1952,20
1953,21
1954,19
1955,31
1956,20
1957,26
1958,19
1959,18
1960,18
1961,26
1962,23
1963,17
1964,22
1965,16
1966,14
1967,22
1968,23
1969,18
1970,23
1971,21
1972,25
1973,22
1974,30
1975,26
1976,25
1977,20
1978,20
1979,31
1980,35
1981,34
1982,29
1983,33
1984,21
1985,33
1986,34
1987,33
1988,35
1989,47
1990,35
1991,35
1992,43
1993,48
1994,47
1995,41
1996,40
1997,31
1998,31
1999,27
2000,38
2001,42
2002,40
2003,40
2004,38
2005,28
2006,46
2007,39
2008,38
2009,28
2010,38
2011,29
2012,36
