year,Peg
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,6
1914,5
1915,0
1916,6
1917,5
1918,0
1919,0
1920,0
1921,0
1922,0
1923,5
1924,6
1925,0
1926,7
1927,6
1928,6
1929,9
1930,0
1931,0
1932,0
1933,6
1934,10
1935,15
1936,15
1937,18
1938,17
1939,22
1940,23
1941,22
1942,19
1943,16
1944,18
1945,20
1946,32
1947,26
1948,31
1949,30
1950,21
1951,17
1952,33
1953,25
1954,24
1955,29
1956,33
1957,43
1958,41
1959,36
1960,30
1961,21
1962,27
1963,13
1964,18
1965,10
1966,6
1967,7
1968,5
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
