year,Pansy
1880,8
1881,8
1882,11
1883,28
1884,25
1885,33
1886,43
1887,55
1888,49
1889,56
1890,57
1891,59
1892,64
1893,64
1894,76
1895,71
1896,79
1897,63
1898,104
1899,82
1900,90
1901,76
1902,80
1903,89
1904,106
1905,87
1906,94
1907,119
1908,107
1909,120
1910,129
1911,135
1912,157
1913,170
1914,208
1915,267
1916,273
1917,238
1918,229
1919,239
1920,234
1921,245
1922,230
1923,229
1924,259
1925,240
1926,256
1927,231
1928,233
1929,204
1930,242
1931,224
1932,210
1933,192
1934,213
1935,180
1936,181
1937,157
1938,151
1939,145
1940,164
1941,123
1942,108
1943,112
1944,94
1945,83
1946,111
1947,89
1948,94
1949,91
1950,109
1951,97
1952,99
1953,75
1954,81
1955,74
1956,89
1957,72
1958,54
1959,62
1960,60
1961,70
1962,49
1963,59
1964,64
1965,26
1966,46
1967,41
1968,30
1969,29
1970,20
1971,31
1972,26
1973,17
1974,21
1975,22
1976,13
1977,16
1978,21
1979,9
1980,5
1981,12
1982,0
1983,10
1984,0
1985,5
1986,6
1987,13
1988,5
1989,5
1990,6
1991,0
1992,7
1993,0
1994,0
1995,0
1996,6
1997,0
1998,5
1999,5
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
