year,Pauletta
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,5
1918,6
1919,0
1920,6
1921,8
1922,10
1923,8
1924,6
1925,13
1926,6
1927,5
1928,0
1929,11
1930,13
1931,6
1932,12
1933,7
1934,7
1935,26
1936,15
1937,11
1938,9
1939,11
1940,23
1941,27
1942,81
1943,73
1944,78
1945,75
1946,88
1947,97
1948,107
1949,107
1950,78
1951,88
1952,83
1953,73
1954,90
1955,74
1956,70
1957,71
1958,65
1959,65
1960,56
1961,43
1962,56
1963,49
1964,49
1965,42
1966,43
1967,41
1968,30
1969,31
1970,43
1971,23
1972,16
1973,38
1974,21
1975,20
1976,13
1977,15
1978,20
1979,13
1980,8
1981,14
1982,12
1983,0
1984,15
1985,0
1986,11
1987,7
1988,12
1989,11
1990,11
1991,9
1992,5
1993,5
1994,7
1995,5
1996,6
1997,8
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
