year,Peggyann
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,5
1929,5
1930,5
1931,11
1932,13
1933,6
1934,0
1935,0
1936,7
1937,9
1938,12
1939,8
1940,7
1941,6
1942,11
1943,5
1944,0
1945,6
1946,17
1947,17
1948,18
1949,11
1950,9
1951,11
1952,10
1953,8
1954,5
1955,0
1956,0
1957,5
1958,0
1959,7
1960,5
1961,7
1962,13
1963,9
1964,8
1965,6
1966,6
1967,7
1968,0
1969,5
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
