year,Pedro (F),Pedro (M)
1880,0.000000,0.000154
1881,0.000000,0.000073
1882,0.000000,0.000122
1883,0.000000,0.000083
1884,0.000000,0.000123
1885,0.000000,0.000095
1886,0.000000,0.000094
1887,0.000000,0.000077
1888,0.000000,0.000083
1889,0.000000,0.000090
1890,0.000000,0.000106
1891,0.000000,0.000087
1892,0.000000,0.000084
1893,0.000000,0.000095
1894,0.000000,0.000094
1895,0.000000,0.000066
1896,0.000000,0.000112
1897,0.000000,0.000061
1898,0.000000,0.000071
1899,0.000000,0.000074
1900,0.000000,0.000098
1901,0.000000,0.000104
1902,0.000000,0.000114
1903,0.000000,0.000115
1904,0.000000,0.000107
1905,0.000000,0.000120
1906,0.000000,0.000117
1907,0.000000,0.000142
1908,0.000000,0.000108
1909,0.000000,0.000110
1910,0.000000,0.000141
1911,0.000000,0.000118
1912,0.000000,0.000121
1913,0.000000,0.000112
1914,0.000000,0.000114
1915,0.000000,0.000105
1916,0.000000,0.000103
1917,0.000000,0.000115
1918,0.000000,0.000104
1919,0.000000,0.000110
1920,0.000000,0.000123
1921,0.000000,0.000140
1922,0.000000,0.000144
1923,0.000000,0.000148
1924,0.000000,0.000182
1925,0.000000,0.000181
1926,0.000000,0.000176
1927,0.000004,0.000177
1928,0.000003,0.000213
1929,0.000004,0.000216
1930,0.000004,0.000225
1931,0.000000,0.000174
1932,0.000005,0.000164
1933,0.000000,0.000155
1934,0.000000,0.000174
1935,0.000002,0.000171
1936,0.000000,0.000152
1937,0.000000,0.000153
1938,0.000000,0.000136
1939,0.000000,0.000147
1940,0.000000,0.000138
1941,0.000002,0.000139
1942,0.000002,0.000119
1943,0.000002,0.000126
1944,0.000000,0.000148
1945,0.000002,0.000138
1946,0.000000,0.000139
1947,0.000002,0.000127
1948,0.000001,0.000153
1949,0.000003,0.000147
1950,0.000000,0.000152
1951,0.000000,0.000143
1952,0.000000,0.000142
1953,0.000003,0.000142
1954,0.000001,0.000151
1955,0.000001,0.000138
1956,0.000001,0.000142
1957,0.000000,0.000146
1958,0.000001,0.000148
1959,0.000001,0.000157
1960,0.000000,0.000159
1961,0.000001,0.000148
1962,0.000001,0.000175
1963,0.000000,0.000162
1964,0.000002,0.000182
1965,0.000002,0.000193
1966,0.000002,0.000195
1967,0.000002,0.000215
1968,0.000000,0.000234
1969,0.000003,0.000243
1970,0.000004,0.000246
1971,0.000002,0.000265
1972,0.000000,0.000268
1973,0.000004,0.000287
1974,0.000004,0.000323
1975,0.000002,0.000326
1976,0.000005,0.000315
1977,0.000004,0.000302
1978,0.000002,0.000320
1979,0.000003,0.000330
1980,0.000003,0.000317
1981,0.000004,0.000355
1982,0.000004,0.000343
1983,0.000002,0.000314
1984,0.000003,0.000321
1985,0.000003,0.000349
1986,0.000005,0.000328
1987,0.000003,0.000348
1988,0.000003,0.000353
1989,0.000002,0.000382
1990,0.000002,0.000390
1991,0.000003,0.000414
1992,0.000004,0.000434
1993,0.000003,0.000442
1994,0.000003,0.000438
1995,0.000002,0.000433
1996,0.000003,0.000429
1997,0.000003,0.000413
1998,0.000002,0.000455
1999,0.000002,0.000458
2000,0.000002,0.000451
2001,0.000000,0.000453
2002,0.000000,0.000416
2003,0.000000,0.000410
2004,0.000001,0.000397
2005,0.000000,0.000428
2006,0.000000,0.000417
2007,0.000000,0.000403
2008,0.000000,0.000358
2009,0.000000,0.000334
2010,0.000000,0.000323
2011,0.000000,0.000287
2012,0.000000,0.000278
2013,0.000000,0.000254
2014,0.000000,0.000244
2015,0.000000,0.000237
2016,0.000000,0.000239
2017,0.000000,0.000227
2018,0.000000,0.000230
2019,0.000000,0.000226
2020,0.000000,0.000216
