year,Peyton (F),Peyton (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000021
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000028
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000020
1891,0.000000,0.000021
1892,0.000000,0.000024
1893,0.000000,0.000022
1894,0.000000,0.000000
1895,0.000000,0.000017
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000018
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000013
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000013
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000014
1912,0.000000,0.000008
1913,0.000000,0.000012
1914,0.000000,0.000017
1915,0.000000,0.000013
1916,0.000000,0.000008
1917,0.000000,0.000009
1918,0.000000,0.000014
1919,0.000000,0.000013
1920,0.000000,0.000011
1921,0.000000,0.000014
1922,0.000000,0.000008
1923,0.000000,0.000011
1924,0.000000,0.000008
1925,0.000000,0.000011
1926,0.000000,0.000009
1927,0.000000,0.000011
1928,0.000000,0.000005
1929,0.000000,0.000008
1930,0.000000,0.000008
1931,0.000000,0.000008
1932,0.000000,0.000007
1933,0.000000,0.000009
1934,0.000000,0.000005
1935,0.000000,0.000010
1936,0.000000,0.000008
1937,0.000000,0.000008
1938,0.000000,0.000012
1939,0.000000,0.000009
1940,0.000000,0.000009
1941,0.000000,0.000011
1942,0.000000,0.000006
1943,0.000000,0.000007
1944,0.000000,0.000009
1945,0.000000,0.000006
1946,0.000000,0.000007
1947,0.000000,0.000006
1948,0.000000,0.000007
1949,0.000000,0.000007
1950,0.000000,0.000005
1951,0.000000,0.000007
1952,0.000000,0.000005
1953,0.000000,0.000005
1954,0.000000,0.000005
1955,0.000000,0.000005
1956,0.000000,0.000005
1957,0.000001,0.000005
1958,0.000000,0.000005
1959,0.000000,0.000005
1960,0.000000,0.000006
1961,0.000002,0.000004
1962,0.000002,0.000007
1963,0.000002,0.000006
1964,0.000003,0.000007
1965,0.000002,0.000008
1966,0.000008,0.000005
1967,0.000007,0.000006
1968,0.000004,0.000007
1969,0.000004,0.000008
1970,0.000007,0.000006
1971,0.000002,0.000008
1972,0.000005,0.000007
1973,0.000004,0.000011
1974,0.000006,0.000017
1975,0.000006,0.000015
1976,0.000006,0.000010
1977,0.000004,0.000008
1978,0.000004,0.000012
1979,0.000006,0.000010
1980,0.000005,0.000007
1981,0.000005,0.000009
1982,0.000006,0.000011
1983,0.000005,0.000012
1984,0.000007,0.000014
1985,0.000006,0.000016
1986,0.000009,0.000021
1987,0.000008,0.000022
1988,0.000011,0.000022
1989,0.000009,0.000028
1990,0.000015,0.000030
1991,0.000017,0.000032
1992,0.000104,0.000049
1993,0.000164,0.000064
1994,0.000157,0.000096
1995,0.000161,0.000124
1996,0.000303,0.000212
1997,0.000360,0.000309
1998,0.000385,0.000395
1999,0.000367,0.000374
2000,0.000521,0.000530
2001,0.000503,0.000565
2002,0.000456,0.000472
2003,0.000447,0.000465
2004,0.000626,0.000650
2005,0.000641,0.000740
2006,0.000641,0.000680
2007,0.000695,0.000845
2008,0.001206,0.000820
2009,0.001393,0.000708
2010,0.001348,0.000716
2011,0.001281,0.000628
2012,0.001226,0.000569
2013,0.001258,0.000508
