year,Pasqual
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,6
1914,8
1915,13
1916,14
1917,6
1918,16
1919,14
1920,16
1921,23
1922,31
1923,21
1924,18
1925,14
1926,11
1927,16
1928,16
1929,24
1930,15
1931,13
1932,10
1933,9
1934,10
1935,8
1936,13
1937,11
1938,8
1939,8
1940,10
1941,12
1942,8
1943,9
1944,7
1945,10
1946,9
1947,10
1948,9
1949,0
1950,13
1951,5
1952,9
1953,8
1954,5
1955,0
1956,10
1957,9
1958,7
1959,5
1960,0
1961,6
1962,0
1963,0
1964,0
1965,10
1966,5
1967,0
1968,0
1969,0
1970,0
1971,6
1972,0
1973,5
1974,5
1975,0
1976,6
1977,7
1978,0
1979,0
1980,5
1981,0
1982,0
1983,6
1984,7
1985,0
1986,0
1987,0
1988,0
1989,7
1990,0
1991,0
1992,0
1993,6
1994,0
1995,0
1996,0
1997,0
1998,5
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
