year,Priscilla (F),Priscilla (M)
1880,0.000129,0.000000
1881,0.000140,0.000000
1882,0.000158,0.000000
1883,0.000124,0.000000
1884,0.000164,0.000000
1885,0.000133,0.000000
1886,0.000165,0.000000
1887,0.000206,0.000000
1888,0.000187,0.000000
1889,0.000135,0.000000
1890,0.000133,0.000000
1891,0.000178,0.000000
1892,0.000150,0.000000
1893,0.000157,0.000000
1894,0.000174,0.000000
1895,0.000179,0.000000
1896,0.000201,0.000000
1897,0.000210,0.000000
1898,0.000186,0.000000
1899,0.000174,0.000000
1900,0.000244,0.000000
1901,0.000208,0.000000
1902,0.000204,0.000000
1903,0.000207,0.000000
1904,0.000198,0.000000
1905,0.000208,0.000000
1906,0.000250,0.000000
1907,0.000251,0.000000
1908,0.000217,0.000000
1909,0.000194,0.000000
1910,0.000240,0.000000
1911,0.000230,0.000000
1912,0.000207,0.000000
1913,0.000212,0.000000
1914,0.000197,0.000000
1915,0.000214,0.000000
1916,0.000227,0.000000
1917,0.000227,0.000000
1918,0.000239,0.000000
1919,0.000264,0.000000
1920,0.000282,0.000000
1921,0.000310,0.000000
1922,0.000332,0.000000
1923,0.000352,0.000003
1924,0.000362,0.000000
1925,0.000356,0.000000
1926,0.000363,0.000000
1927,0.000387,0.000002
1928,0.000392,0.000000
1929,0.000384,0.000000
1930,0.000371,0.000002
1931,0.000356,0.000000
1932,0.000345,0.000000
1933,0.000338,0.000000
1934,0.000320,0.000000
1935,0.000370,0.000000
1936,0.000365,0.000000
1937,0.000374,0.000000
1938,0.000464,0.000000
1939,0.000700,0.000003
1940,0.000856,0.000003
1941,0.000809,0.000005
1942,0.000728,0.000004
1943,0.000649,0.000002
1944,0.000586,0.000000
1945,0.000532,0.000000
1946,0.000520,0.000002
1947,0.000536,0.000000
1948,0.000535,0.000000
1949,0.000556,0.000000
1950,0.000477,0.000000
1951,0.000432,0.000000
1952,0.000407,0.000001
1953,0.000358,0.000002
1954,0.000329,0.000000
1955,0.000319,0.000000
1956,0.000328,0.000000
1957,0.000345,0.000001
1958,0.000337,0.000000
1959,0.000306,0.000000
1960,0.000292,0.000002
1961,0.000263,0.000001
1962,0.000300,0.000000
1963,0.000315,0.000002
1964,0.000293,0.000000
1965,0.000261,0.000000
1966,0.000243,0.000000
1967,0.000257,0.000000
1968,0.000254,0.000000
1969,0.000265,0.000000
1970,0.000259,0.000002
1971,0.000263,0.000000
1972,0.000244,0.000000
1973,0.000273,0.000002
1974,0.000298,0.000003
1975,0.000239,0.000000
1976,0.000260,0.000000
1977,0.000287,0.000000
1978,0.000346,0.000002
1979,0.000377,0.000000
1980,0.000416,0.000002
1981,0.000445,0.000001
1982,0.000424,0.000002
1983,0.000435,0.000003
1984,0.000459,0.000002
1985,0.000477,0.000004
1986,0.000432,0.000002
1987,0.000457,0.000003
1988,0.000490,0.000000
1989,0.000453,0.000002
1990,0.000444,0.000002
1991,0.000457,0.000004
1992,0.000449,0.000001
1993,0.000423,0.000000
1994,0.000405,0.000001
1995,0.000357,0.000000
1996,0.000300,0.000000
1997,0.000319,0.000002
1998,0.000349,0.000000
1999,0.000350,0.000000
2000,0.000310,0.000000
2001,0.000302,0.000000
2002,0.000292,0.000000
2003,0.000284,0.000000
2004,0.000241,0.000000
2005,0.000236,0.000000
2006,0.000221,0.000000
2007,0.000219,0.000000
2008,0.000198,0.000000
2009,0.000202,0.000000
2010,0.000168,0.000000
2011,0.000167,0.000000
2012,0.000172,0.000000
2013,0.000174,0.000000
2014,0.000176,0.000000
2015,0.000171,0.000000
2016,0.000182,0.000000
2017,0.000166,0.000000
2018,0.000152,0.000000
2019,0.000140,0.000000
2020,0.000157,0.000000
