year,Priscella
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,5
1923,6
1924,0
1925,0
1926,0
1927,5
1928,10
1929,0
1930,0
1931,0
1932,5
1933,0
1934,0
1935,0
1936,0
1937,6
1938,8
1939,9
1940,11
1941,6
1942,9
1943,15
1944,8
1945,14
1946,13
1947,8
1948,14
1949,11
1950,9
1951,7
1952,6
1953,11
1954,7
1955,7
1956,13
1957,13
1958,9
1959,8
1960,6
1961,13
1962,15
1963,16
1964,24
1965,8
1966,11
1967,9
1968,15
1969,11
1970,8
1971,18
1972,15
1973,16
1974,6
1975,12
1976,19
1977,11
1978,16
1979,19
1980,33
1981,26
1982,29
1983,14
1984,17
1985,18
1986,25
1987,18
1988,22
1989,14
1990,18
1991,16
1992,23
1993,22
1994,14
1995,13
1996,15
1997,12
1998,15
1999,8
2000,10
2001,11
2002,10
2003,21
2004,8
2005,11
2006,9
2007,0
2008,11
2009,0
2010,6
2011,6
2012,8
