year,Padraic
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,5
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,8
1956,10
1957,6
1958,10
1959,8
1960,7
1961,11
1962,10
1963,9
1964,7
1965,15
1966,16
1967,15
1968,17
1969,12
1970,15
1971,19
1972,10
1973,9
1974,20
1975,8
1976,11
1977,17
1978,7
1979,25
1980,17
1981,17
1982,36
1983,25
1984,28
1985,19
1986,30
1987,28
1988,16
1989,15
1990,17
1991,20
1992,14
1993,23
1994,20
1995,23
1996,10
1997,17
1998,17
1999,20
2000,19
2001,12
2002,13
2003,8
2004,15
2005,20
2006,8
2007,14
2008,22
2009,15
2010,16
2011,13
2012,16
