year,Pamelia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,5
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,5
1914,10
1915,5
1916,0
1917,6
1918,0
1919,5
1920,8
1921,9
1922,8
1923,0
1924,8
1925,5
1926,7
1927,6
1928,11
1929,12
1930,9
1931,10
1932,9
1933,17
1934,6
1935,11
1936,17
1937,15
1938,13
1939,14
1940,19
1941,16
1942,28
1943,29
1944,38
1945,46
1946,55
1947,55
1948,72
1949,89
1950,76
1951,78
1952,83
1953,90
1954,103
1955,90
1956,73
1957,77
1958,86
1959,88
1960,78
1961,82
1962,71
1963,68
1964,58
1965,54
1966,35
1967,35
1968,29
1969,30
1970,36
1971,29
1972,14
1973,19
1974,8
1975,8
1976,13
1977,6
1978,8
1979,6
1980,0
1981,7
1982,0
1983,0
1984,8
1985,5
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
