year,Parthenia
1880,5
1881,7
1882,8
1883,8
1884,8
1885,0
1886,13
1887,7
1888,9
1889,7
1890,9
1891,8
1892,13
1893,6
1894,6
1895,0
1896,14
1897,7
1898,9
1899,7
1900,10
1901,8
1902,9
1903,14
1904,10
1905,11
1906,7
1907,13
1908,6
1909,10
1910,13
1911,9
1912,15
1913,22
1914,21
1915,15
1916,27
1917,21
1918,21
1919,18
1920,15
1921,26
1922,22
1923,28
1924,13
1925,16
1926,21
1927,15
1928,20
1929,22
1930,20
1931,17
1932,20
1933,11
1934,16
1935,15
1936,23
1937,22
1938,12
1939,16
1940,16
1941,9
1942,19
1943,17
1944,14
1945,21
1946,21
1947,21
1948,18
1949,14
1950,24
1951,13
1952,21
1953,27
1954,17
1955,17
1956,17
1957,15
1958,20
1959,13
1960,13
1961,14
1962,14
1963,14
1964,13
1965,10
1966,5
1967,14
1968,7
1969,6
1970,7
1971,9
1972,10
1973,0
1974,8
1975,7
1976,7
1977,8
1978,6
1979,5
1980,0
1981,5
1982,5
1983,6
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,5
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,6
