year,Placido
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,5
1908,0
1909,0
1910,0
1911,0
1912,5
1913,7
1914,19
1915,15
1916,18
1917,12
1918,15
1919,9
1920,15
1921,20
1922,21
1923,23
1924,20
1925,18
1926,10
1927,15
1928,16
1929,19
1930,16
1931,16
1932,10
1933,15
1934,10
1935,20
1936,9
1937,12
1938,7
1939,5
1940,14
1941,12
1942,13
1943,15
1944,15
1945,11
1946,8
1947,11
1948,17
1949,14
1950,9
1951,16
1952,8
1953,12
1954,12
1955,7
1956,11
1957,8
1958,7
1959,0
1960,7
1961,11
1962,0
1963,7
1964,7
1965,8
1966,9
1967,17
1968,9
1969,8
1970,15
1971,7
1972,6
1973,9
1974,6
1975,23
1976,12
1977,11
1978,7
1979,11
1980,11
1981,11
1982,10
1983,0
1984,10
1985,14
1986,8
1987,6
1988,0
1989,7
1990,9
1991,12
1992,11
1993,10
1994,9
1995,9
1996,6
1997,15
1998,9
1999,15
2000,8
2001,9
2002,13
2003,11
2004,13
2005,6
2006,11
2007,0
2008,8
2009,7
2010,6
2011,0
2012,0
