year,Percy (F),Percy (M)
1880,0.000000,0.000467
1881,0.000000,0.000493
1882,0.000000,0.000569
1883,0.000000,0.000401
1884,0.000000,0.000518
1885,0.000000,0.000407
1886,0.000023,0.000478
1887,0.000024,0.000497
1888,0.000000,0.000504
1889,0.000000,0.000498
1890,0.000000,0.000464
1891,0.000000,0.000457
1892,0.000000,0.000446
1893,0.000000,0.000544
1894,0.000000,0.000511
1895,0.000014,0.000467
1896,0.000017,0.000439
1897,0.000017,0.000527
1898,0.000000,0.000406
1899,0.000015,0.000419
1900,0.000011,0.000446
1901,0.000014,0.000347
1902,0.000000,0.000432
1903,0.000000,0.000325
1904,0.000000,0.000310
1905,0.000000,0.000399
1906,0.000000,0.000329
1907,0.000011,0.000344
1908,0.000000,0.000309
1909,0.000014,0.000311
1910,0.000014,0.000330
1911,0.000008,0.000286
1912,0.000005,0.000341
1913,0.000005,0.000313
1914,0.000006,0.000317
1915,0.000008,0.000267
1916,0.000007,0.000270
1917,0.000006,0.000257
1918,0.000009,0.000261
1919,0.000008,0.000282
1920,0.000006,0.000266
1921,0.000006,0.000258
1922,0.000004,0.000262
1923,0.000005,0.000234
1924,0.000004,0.000236
1925,0.000009,0.000233
1926,0.000008,0.000215
1927,0.000007,0.000225
1928,0.000005,0.000213
1929,0.000008,0.000226
1930,0.000005,0.000193
1931,0.000003,0.000197
1932,0.000008,0.000203
1933,0.000004,0.000200
1934,0.000006,0.000180
1935,0.000004,0.000185
1936,0.000003,0.000173
1937,0.000007,0.000167
1938,0.000003,0.000159
1939,0.000004,0.000163
1940,0.000003,0.000143
1941,0.000000,0.000139
1942,0.000003,0.000139
1943,0.000000,0.000140
1944,0.000003,0.000130
1945,0.000003,0.000129
1946,0.000003,0.000107
1947,0.000002,0.000114
1948,0.000003,0.000119
1949,0.000002,0.000114
1950,0.000002,0.000118
1951,0.000002,0.000115
1952,0.000002,0.000116
1953,0.000003,0.000098
1954,0.000002,0.000091
1955,0.000000,0.000077
1956,0.000001,0.000076
1957,0.000001,0.000083
1958,0.000000,0.000068
1959,0.000000,0.000063
1960,0.000002,0.000065
1961,0.000000,0.000059
1962,0.000002,0.000062
1963,0.000002,0.000060
1964,0.000000,0.000054
1965,0.000001,0.000053
1966,0.000001,0.000056
1967,0.000002,0.000052
1968,0.000001,0.000054
1969,0.000001,0.000058
1970,0.000000,0.000049
1971,0.000000,0.000055
1972,0.000000,0.000056
1973,0.000000,0.000056
1974,0.000000,0.000049
1975,0.000000,0.000047
1976,0.000000,0.000045
1977,0.000000,0.000043
1978,0.000000,0.000046
1979,0.000000,0.000036
1980,0.000000,0.000036
1981,0.000000,0.000037
1982,0.000000,0.000033
1983,0.000000,0.000030
1984,0.000000,0.000028
1985,0.000000,0.000027
1986,0.000000,0.000026
1987,0.000000,0.000020
1988,0.000000,0.000029
1989,0.000000,0.000026
1990,0.000000,0.000026
1991,0.000000,0.000023
1992,0.000000,0.000025
1993,0.000000,0.000019
1994,0.000000,0.000020
1995,0.000000,0.000018
1996,0.000000,0.000017
1997,0.000000,0.000017
1998,0.000000,0.000017
1999,0.000000,0.000015
2000,0.000000,0.000014
2001,0.000000,0.000016
2002,0.000000,0.000012
2003,0.000000,0.000012
2004,0.000000,0.000016
2005,0.000000,0.000012
2006,0.000000,0.000013
2007,0.000000,0.000014
2008,0.000000,0.000009
2009,0.000000,0.000010
2010,0.000000,0.000011
2011,0.000000,0.000011
2012,0.000000,0.000016
