year,Palma
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,5
1890,0
1891,6
1892,0
1893,10
1894,9
1895,19
1896,6
1897,11
1898,13
1899,9
1900,18
1901,10
1902,18
1903,19
1904,13
1905,16
1906,18
1907,28
1908,21
1909,13
1910,33
1911,21
1912,41
1913,32
1914,69
1915,84
1916,83
1917,96
1918,97
1919,92
1920,71
1921,95
1922,80
1923,97
1924,88
1925,100
1926,99
1927,85
1928,76
1929,68
1930,75
1931,68
1932,69
1933,50
1934,51
1935,64
1936,54
1937,39
1938,46
1939,43
1940,47
1941,36
1942,64
1943,51
1944,41
1945,42
1946,42
1947,53
1948,47
1949,72
1950,57
1951,44
1952,47
1953,57
1954,56
1955,37
1956,44
1957,36
1958,29
1959,43
1960,25
1961,23
1962,18
1963,28
1964,21
1965,18
1966,15
1967,20
1968,12
1969,6
1970,13
1971,9
1972,18
1973,10
1974,6
1975,6
1976,9
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,5
1984,0
1985,0
1986,0
1987,5
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,5
1999,0
2000,0
2001,0
2002,5
2003,0
2004,5
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
