year,Penni
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,7
1939,0
1940,6
1941,9
1942,10
1943,8
1944,22
1945,18
1946,29
1947,34
1948,36
1949,39
1950,36
1951,41
1952,45
1953,51
1954,52
1955,52
1956,60
1957,73
1958,83
1959,121
1960,122
1961,129
1962,148
1963,136
1964,146
1965,129
1966,102
1967,107
1968,84
1969,78
1970,79
1971,72
1972,50
1973,41
1974,42
1975,41
1976,22
1977,24
1978,21
1979,27
1980,16
1981,19
1982,17
1983,12
1984,11
1985,8
1986,8
1987,14
1988,0
1989,0
1990,5
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,7
2012,7
