year,Pierre (F),Pierre (M)
1880,0.000000,0.000065
1881,0.000000,0.000057
1882,0.000000,0.000054
1883,0.000000,0.000060
1884,0.000000,0.000045
1885,0.000000,0.000037
1886,0.000000,0.000039
1887,0.000000,0.000036
1888,0.000000,0.000033
1889,0.000000,0.000035
1890,0.000000,0.000020
1891,0.000000,0.000031
1892,0.000000,0.000039
1893,0.000000,0.000025
1894,0.000000,0.000027
1895,0.000000,0.000020
1896,0.000000,0.000022
1897,0.000000,0.000052
1898,0.000000,0.000016
1899,0.000000,0.000035
1900,0.000000,0.000024
1901,0.000000,0.000032
1902,0.000000,0.000028
1903,0.000000,0.000026
1904,0.000000,0.000022
1905,0.000000,0.000000
1906,0.000000,0.000019
1907,0.000000,0.000021
1908,0.000000,0.000020
1909,0.000000,0.000023
1910,0.000000,0.000014
1911,0.000000,0.000014
1912,0.000000,0.000022
1913,0.000000,0.000018
1914,0.000000,0.000028
1915,0.000000,0.000024
1916,0.000000,0.000020
1917,0.000000,0.000023
1918,0.000000,0.000023
1919,0.000000,0.000024
1920,0.000000,0.000031
1921,0.000000,0.000025
1922,0.000000,0.000023
1923,0.000000,0.000020
1924,0.000000,0.000026
1925,0.000000,0.000023
1926,0.000000,0.000019
1927,0.000000,0.000027
1928,0.000000,0.000024
1929,0.000000,0.000026
1930,0.000000,0.000027
1931,0.000000,0.000031
1932,0.000000,0.000028
1933,0.000000,0.000029
1934,0.000000,0.000024
1935,0.000000,0.000032
1936,0.000000,0.000030
1937,0.000000,0.000030
1938,0.000000,0.000031
1939,0.000000,0.000029
1940,0.000000,0.000025
1941,0.000000,0.000029
1942,0.000000,0.000023
1943,0.000000,0.000023
1944,0.000000,0.000032
1945,0.000000,0.000024
1946,0.000000,0.000027
1947,0.000000,0.000028
1948,0.000000,0.000025
1949,0.000000,0.000025
1950,0.000000,0.000033
1951,0.000000,0.000027
1952,0.000000,0.000028
1953,0.000000,0.000033
1954,0.000000,0.000043
1955,0.000001,0.000038
1956,0.000000,0.000039
1957,0.000000,0.000046
1958,0.000000,0.000050
1959,0.000000,0.000054
1960,0.000000,0.000058
1961,0.000001,0.000058
1962,0.000000,0.000046
1963,0.000000,0.000060
1964,0.000000,0.000058
1965,0.000000,0.000064
1966,0.000000,0.000060
1967,0.000000,0.000062
1968,0.000000,0.000055
1969,0.000000,0.000054
1970,0.000000,0.000055
1971,0.000000,0.000051
1972,0.000000,0.000048
1973,0.000000,0.000041
1974,0.000000,0.000059
1975,0.000002,0.000050
1976,0.000000,0.000047
1977,0.000000,0.000056
1978,0.000000,0.000052
1979,0.000000,0.000070
1980,0.000000,0.000082
1981,0.000002,0.000086
1982,0.000000,0.000102
1983,0.000002,0.000118
1984,0.000001,0.000118
1985,0.000003,0.000125
1986,0.000003,0.000132
1987,0.000002,0.000131
1988,0.000002,0.000128
1989,0.000000,0.000110
1990,0.000002,0.000098
1991,0.000000,0.000094
1992,0.000000,0.000077
1993,0.000000,0.000066
1994,0.000000,0.000055
1995,0.000000,0.000045
1996,0.000000,0.000045
1997,0.000000,0.000051
1998,0.000000,0.000052
1999,0.000000,0.000043
2000,0.000000,0.000044
2001,0.000000,0.000043
2002,0.000000,0.000045
2003,0.000000,0.000046
2004,0.000000,0.000039
2005,0.000000,0.000042
2006,0.000000,0.000047
2007,0.000000,0.000048
2008,0.000000,0.000052
2009,0.000000,0.000050
2010,0.000000,0.000057
2011,0.000000,0.000054
2012,0.000000,0.000052
