year,Phillips
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,5
1905,0
1906,0
1907,0
1908,0
1909,8
1910,0
1911,0
1912,7
1913,7
1914,12
1915,13
1916,16
1917,18
1918,18
1919,21
1920,12
1921,14
1922,16
1923,22
1924,23
1925,17
1926,15
1927,17
1928,21
1929,16
1930,23
1931,19
1932,19
1933,14
1934,21
1935,14
1936,16
1937,20
1938,17
1939,13
1940,16
1941,23
1942,7
1943,16
1944,14
1945,18
1946,18
1947,15
1948,17
1949,32
1950,19
1951,17
1952,15
1953,15
1954,12
1955,20
1956,20
1957,15
1958,10
1959,15
1960,15
1961,18
1962,13
1963,14
1964,19
1965,9
1966,11
1967,8
1968,9
1969,10
1970,12
1971,7
1972,10
1973,11
1974,6
1975,7
1976,7
1977,14
1978,15
1979,0
1980,7
1981,10
1982,14
1983,16
1984,9
1985,17
1986,13
1987,12
1988,11
1989,15
1990,18
1991,16
1992,10
1993,13
1994,8
1995,7
1996,9
1997,10
1998,8
1999,6
2000,7
2001,12
2002,5
2003,14
2004,0
2005,5
2006,0
2007,0
2008,0
2009,0
2010,5
2011,0
2012,0
