year,Paralee
1880,7
1881,13
1882,8
1883,10
1884,11
1885,14
1886,7
1887,12
1888,11
1889,13
1890,8
1891,9
1892,0
1893,8
1894,12
1895,23
1896,10
1897,11
1898,15
1899,9
1900,16
1901,9
1902,14
1903,13
1904,20
1905,10
1906,11
1907,11
1908,18
1909,11
1910,17
1911,16
1912,20
1913,19
1914,29
1915,30
1916,23
1917,23
1918,35
1919,33
1920,39
1921,24
1922,33
1923,28
1924,23
1925,26
1926,16
1927,24
1928,20
1929,23
1930,19
1931,15
1932,21
1933,19
1934,15
1935,15
1936,15
1937,8
1938,11
1939,11
1940,12
1941,9
1942,15
1943,18
1944,10
1945,9
1946,17
1947,12
1948,10
1949,7
1950,11
1951,12
1952,10
1953,12
1954,6
1955,8
1956,8
1957,7
1958,5
1959,0
1960,0
1961,7
1962,6
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,5
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
