year,Pervis
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,5
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,5
1909,7
1910,0
1911,0
1912,0
1913,7
1914,11
1915,0
1916,7
1917,8
1918,9
1919,12
1920,15
1921,12
1922,14
1923,0
1924,10
1925,11
1926,8
1927,8
1928,9
1929,12
1930,15
1931,12
1932,11
1933,14
1934,15
1935,10
1936,14
1937,9
1938,11
1939,15
1940,8
1941,7
1942,6
1943,10
1944,11
1945,12
1946,11
1947,8
1948,17
1949,11
1950,12
1951,9
1952,14
1953,12
1954,13
1955,20
1956,11
1957,9
1958,11
1959,17
1960,8
1961,11
1962,16
1963,15
1964,11
1965,21
1966,18
1967,18
1968,8
1969,9
1970,12
1971,5
1972,5
1973,15
1974,11
1975,11
1976,13
1977,15
1978,10
1979,14
1980,6
1981,7
1982,10
1983,5
1984,10
1985,6
1986,12
1987,6
1988,5
1989,12
1990,0
1991,5
1992,5
1993,7
1994,0
1995,0
1996,0
1997,0
1998,0
1999,6
2000,0
2001,0
2002,5
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
