year,Patsie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,5
1899,0
1900,5
1901,0
1902,0
1903,0
1904,0
1905,0
1906,5
1907,0
1908,0
1909,0
1910,0
1911,0
1912,5
1913,6
1914,0
1915,7
1916,5
1917,7
1918,6
1919,9
1920,0
1921,8
1922,6
1923,8
1924,5
1925,9
1926,11
1927,14
1928,16
1929,13
1930,11
1931,10
1932,14
1933,17
1934,17
1935,12
1936,19
1937,19
1938,22
1939,21
1940,25
1941,12
1942,15
1943,18
1944,18
1945,12
1946,20
1947,11
1948,11
1949,10
1950,10
1951,14
1952,11
1953,12
1954,8
1955,11
1956,7
1957,5
1958,10
1959,0
1960,8
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
