year,Pierce (F),Pierce (M)
1880,0.000000,0.000079
1881,0.000000,0.000036
1882,0.000000,0.000063
1883,0.000000,0.000023
1884,0.000000,0.000062
1885,0.000000,0.000062
1886,0.000000,0.000082
1887,0.000000,0.000061
1888,0.000000,0.000047
1889,0.000000,0.000038
1890,0.000000,0.000070
1891,0.000000,0.000017
1892,0.000000,0.000066
1893,0.000000,0.000037
1894,0.000000,0.000027
1895,0.000000,0.000040
1896,0.000000,0.000028
1897,0.000000,0.000037
1898,0.000000,0.000034
1899,0.000000,0.000024
1900,0.000000,0.000033
1901,0.000000,0.000032
1902,0.000000,0.000039
1903,0.000000,0.000037
1904,0.000000,0.000020
1905,0.000000,0.000035
1906,0.000000,0.000026
1907,0.000000,0.000037
1908,0.000000,0.000029
1909,0.000000,0.000025
1910,0.000000,0.000019
1911,0.000000,0.000029
1912,0.000000,0.000025
1913,0.000000,0.000032
1914,0.000000,0.000028
1915,0.000000,0.000026
1916,0.000000,0.000029
1917,0.000000,0.000029
1918,0.000000,0.000027
1919,0.000000,0.000029
1920,0.000000,0.000025
1921,0.000000,0.000028
1922,0.000000,0.000027
1923,0.000000,0.000023
1924,0.000000,0.000031
1925,0.000000,0.000024
1926,0.000000,0.000019
1927,0.000000,0.000021
1928,0.000000,0.000026
1929,0.000000,0.000019
1930,0.000000,0.000025
1931,0.000000,0.000023
1932,0.000000,0.000018
1933,0.000000,0.000020
1934,0.000000,0.000013
1935,0.000000,0.000015
1936,0.000000,0.000023
1937,0.000000,0.000022
1938,0.000000,0.000014
1939,0.000000,0.000019
1940,0.000000,0.000014
1941,0.000000,0.000016
1942,0.000000,0.000012
1943,0.000000,0.000013
1944,0.000000,0.000015
1945,0.000000,0.000009
1946,0.000000,0.000013
1947,0.000000,0.000010
1948,0.000000,0.000012
1949,0.000000,0.000013
1950,0.000000,0.000009
1951,0.000000,0.000010
1952,0.000000,0.000007
1953,0.000000,0.000006
1954,0.000000,0.000010
1955,0.000000,0.000009
1956,0.000000,0.000007
1957,0.000000,0.000008
1958,0.000000,0.000005
1959,0.000000,0.000007
1960,0.000000,0.000007
1961,0.000000,0.000008
1962,0.000000,0.000006
1963,0.000000,0.000005
1964,0.000000,0.000009
1965,0.000000,0.000005
1966,0.000000,0.000006
1967,0.000000,0.000005
1968,0.000000,0.000007
1969,0.000000,0.000005
1970,0.000000,0.000005
1971,0.000000,0.000006
1972,0.000000,0.000004
1973,0.000000,0.000008
1974,0.000000,0.000006
1975,0.000000,0.000004
1976,0.000000,0.000006
1977,0.000000,0.000005
1978,0.000000,0.000007
1979,0.000000,0.000005
1980,0.000000,0.000005
1981,0.000000,0.000005
1982,0.000000,0.000008
1983,0.000000,0.000016
1984,0.000000,0.000024
1985,0.000000,0.000030
1986,0.000000,0.000025
1987,0.000000,0.000028
1988,0.000000,0.000037
1989,0.000000,0.000037
1990,0.000000,0.000034
1991,0.000000,0.000036
1992,0.000000,0.000053
1993,0.000000,0.000055
1994,0.000000,0.000060
1995,0.000000,0.000061
1996,0.000002,0.000085
1997,0.000000,0.000085
1998,0.000000,0.000085
1999,0.000003,0.000092
2000,0.000003,0.000121
2001,0.000000,0.000107
2002,0.000002,0.000117
2003,0.000002,0.000135
2004,0.000002,0.000125
2005,0.000002,0.000131
2006,0.000003,0.000115
2007,0.000002,0.000136
2008,0.000003,0.000137
2009,0.000000,0.000151
2010,0.000003,0.000148
2011,0.000003,0.000154
2012,0.000004,0.000156
2013,0.000004,0.000167
2014,0.000003,0.000168
2015,0.000005,0.000175
2016,0.000004,0.000177
2017,0.000004,0.000153
2018,0.000005,0.000168
2019,0.000006,0.000170
2020,0.000007,0.000172
