year,Princella
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,5
1901,0
1902,0
1903,0
1904,0
1905,0
1906,5
1907,0
1908,0
1909,0
1910,0
1911,0
1912,8
1913,0
1914,6
1915,6
1916,13
1917,6
1918,6
1919,9
1920,9
1921,6
1922,11
1923,6
1924,12
1925,11
1926,5
1927,7
1928,12
1929,11
1930,9
1931,7
1932,6
1933,9
1934,9
1935,0
1936,9
1937,8
1938,5
1939,6
1940,8
1941,7
1942,19
1943,12
1944,12
1945,5
1946,8
1947,6
1948,12
1949,11
1950,18
1951,7
1952,13
1953,8
1954,0
1955,10
1956,14
1957,8
1958,12
1959,8
1960,15
1961,10
1962,9
1963,13
1964,11
1965,12
1966,6
1967,8
1968,7
1969,5
1970,9
1971,6
1972,8
1973,19
1974,0
1975,5
1976,5
1977,0
1978,0
1979,0
1980,7
1981,9
1982,0
1983,0
1984,6
1985,5
1986,0
1987,5
1988,0
1989,5
1990,5
1991,0
1992,5
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,5
2001,0
2002,0
2003,0
2004,5
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
