year,Pamala
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,5
1927,0
1928,0
1929,0
1930,0
1931,6
1932,5
1933,0
1934,0
1935,0
1936,0
1937,0
1938,8
1939,5
1940,11
1941,27
1942,37
1943,51
1944,86
1945,90
1946,134
1947,180
1948,169
1949,199
1950,185
1951,170
1952,222
1953,260
1954,305
1955,254
1956,282
1957,270
1958,315
1959,312
1960,281
1961,260
1962,249
1963,276
1964,282
1965,202
1966,228
1967,229
1968,195
1969,193
1970,200
1971,150
1972,129
1973,109
1974,84
1975,82
1976,59
1977,43
1978,41
1979,42
1980,62
1981,43
1982,44
1983,30
1984,27
1985,24
1986,19
1987,17
1988,24
1989,12
1990,15
1991,11
1992,14
1993,10
1994,9
1995,14
1996,15
1997,10
1998,9
1999,10
2000,5
2001,9
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
