year,Patrecia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,6
1920,0
1921,0
1922,13
1923,0
1924,6
1925,8
1926,5
1927,9
1928,9
1929,10
1930,13
1931,10
1932,9
1933,10
1934,9
1935,18
1936,11
1937,21
1938,16
1939,14
1940,23
1941,18
1942,26
1943,16
1944,22
1945,11
1946,24
1947,18
1948,9
1949,21
1950,16
1951,26
1952,12
1953,12
1954,22
1955,6
1956,11
1957,8
1958,10
1959,7
1960,5
1961,11
1962,7
1963,0
1964,12
1965,6
1966,8
1967,6
1968,0
1969,6
1970,6
1971,5
1972,5
1973,6
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,5
1986,0
1987,0
1988,0
1989,6
1990,0
1991,0
1992,0
1993,5
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
