year,Preston (F),Preston (M)
1880,0.000000,0.000233
1881,0.000000,0.000187
1882,0.000000,0.000221
1883,0.000000,0.000240
1884,0.000000,0.000201
1885,0.000000,0.000199
1886,0.000000,0.000141
1887,0.000000,0.000178
1888,0.000000,0.000194
1889,0.000000,0.000135
1890,0.000000,0.000163
1891,0.000000,0.000178
1892,0.000000,0.000147
1893,0.000000,0.000141
1894,0.000000,0.000195
1895,0.000000,0.000165
1896,0.000000,0.000148
1897,0.000000,0.000107
1898,0.000000,0.000139
1899,0.000000,0.000153
1900,0.000000,0.000173
1901,0.000000,0.000226
1902,0.000000,0.000160
1903,0.000000,0.000199
1904,0.000000,0.000166
1905,0.000000,0.000193
1906,0.000000,0.000142
1907,0.000000,0.000153
1908,0.000000,0.000180
1909,0.000000,0.000149
1910,0.000000,0.000190
1911,0.000000,0.000199
1912,0.000000,0.000208
1913,0.000000,0.000192
1914,0.000000,0.000225
1915,0.000000,0.000212
1916,0.000003,0.000216
1917,0.000004,0.000206
1918,0.000002,0.000192
1919,0.000000,0.000204
1920,0.000000,0.000213
1921,0.000002,0.000192
1922,0.000000,0.000204
1923,0.000000,0.000208
1924,0.000002,0.000174
1925,0.000000,0.000183
1926,0.000000,0.000181
1927,0.000000,0.000162
1928,0.000000,0.000169
1929,0.000002,0.000158
1930,0.000004,0.000170
1931,0.000000,0.000158
1932,0.000000,0.000167
1933,0.000000,0.000159
1934,0.000000,0.000172
1935,0.000000,0.000155
1936,0.000000,0.000160
1937,0.000000,0.000169
1938,0.000000,0.000150
1939,0.000000,0.000160
1940,0.000000,0.000165
1941,0.000000,0.000162
1942,0.000002,0.000163
1943,0.000000,0.000158
1944,0.000000,0.000152
1945,0.000000,0.000169
1946,0.000000,0.000142
1947,0.000002,0.000146
1948,0.000000,0.000134
1949,0.000000,0.000154
1950,0.000000,0.000153
1951,0.000000,0.000141
1952,0.000001,0.000147
1953,0.000001,0.000134
1954,0.000001,0.000121
1955,0.000001,0.000130
1956,0.000000,0.000133
1957,0.000000,0.000122
1958,0.000000,0.000116
1959,0.000000,0.000117
1960,0.000000,0.000115
1961,0.000000,0.000109
1962,0.000000,0.000120
1963,0.000001,0.000120
1964,0.000002,0.000116
1965,0.000000,0.000126
1966,0.000000,0.000150
1967,0.000002,0.000135
1968,0.000002,0.000147
1969,0.000000,0.000146
1970,0.000000,0.000145
1971,0.000002,0.000158
1972,0.000002,0.000181
1973,0.000002,0.000160
1974,0.000002,0.000158
1975,0.000000,0.000150
1976,0.000002,0.000187
1977,0.000003,0.000183
1978,0.000000,0.000188
1979,0.000002,0.000208
1980,0.000001,0.000222
1981,0.000003,0.000215
1982,0.000001,0.000230
1983,0.000003,0.000237
1984,0.000002,0.000259
1985,0.000002,0.000274
1986,0.000003,0.000315
1987,0.000002,0.000354
1988,0.000004,0.000366
1989,0.000002,0.000382
1990,0.000002,0.000386
1991,0.000003,0.000366
1992,0.000003,0.000398
1993,0.000004,0.000410
1994,0.000002,0.000432
1995,0.000004,0.000468
1996,0.000002,0.000457
1997,0.000004,0.000521
1998,0.000004,0.000514
1999,0.000003,0.000620
2000,0.000006,0.000726
2001,0.000005,0.000700
2002,0.000005,0.000673
2003,0.000004,0.000695
2004,0.000005,0.000693
2005,0.000004,0.000710
2006,0.000003,0.000940
2007,0.000004,0.000950
2008,0.000003,0.000881
2009,0.000003,0.000907
2010,0.000004,0.000840
2011,0.000006,0.000829
2012,0.000004,0.000804
2013,0.000004,0.000731
2014,0.000005,0.000737
2015,0.000005,0.000662
2016,0.000007,0.000632
2017,0.000006,0.000580
2018,0.000004,0.000559
2019,0.000005,0.000503
2020,0.000006,0.000496
