year,Porter (F),Porter (M)
1880,0.000000,0.000189
1881,0.000000,0.000166
1882,0.000000,0.000126
1883,0.000000,0.000106
1884,0.000000,0.000090
1885,0.000000,0.000149
1886,0.000000,0.000094
1887,0.000000,0.000057
1888,0.000000,0.000124
1889,0.000000,0.000069
1890,0.000000,0.000086
1891,0.000000,0.000070
1892,0.000000,0.000105
1893,0.000000,0.000077
1894,0.000000,0.000077
1895,0.000000,0.000071
1896,0.000000,0.000073
1897,0.000000,0.000078
1898,0.000000,0.000089
1899,0.000000,0.000074
1900,0.000000,0.000056
1901,0.000000,0.000072
1902,0.000000,0.000085
1903,0.000000,0.000058
1904,0.000000,0.000067
1905,0.000000,0.000083
1906,0.000000,0.000056
1907,0.000000,0.000062
1908,0.000000,0.000063
1909,0.000000,0.000051
1910,0.000000,0.000068
1911,0.000000,0.000068
1912,0.000000,0.000069
1913,0.000000,0.000068
1914,0.000000,0.000068
1915,0.000000,0.000056
1916,0.000000,0.000067
1917,0.000003,0.000054
1918,0.000000,0.000053
1919,0.000000,0.000054
1920,0.000000,0.000053
1921,0.000000,0.000051
1922,0.000000,0.000044
1923,0.000000,0.000038
1924,0.000000,0.000044
1925,0.000000,0.000044
1926,0.000000,0.000033
1927,0.000000,0.000035
1928,0.000000,0.000047
1929,0.000000,0.000038
1930,0.000000,0.000035
1931,0.000000,0.000035
1932,0.000000,0.000036
1933,0.000000,0.000034
1934,0.000000,0.000028
1935,0.000000,0.000024
1936,0.000000,0.000028
1937,0.000000,0.000031
1938,0.000000,0.000032
1939,0.000000,0.000026
1940,0.000000,0.000026
1941,0.000000,0.000023
1942,0.000000,0.000027
1943,0.000000,0.000023
1944,0.000000,0.000016
1945,0.000000,0.000015
1946,0.000000,0.000017
1947,0.000000,0.000016
1948,0.000000,0.000013
1949,0.000000,0.000018
1950,0.000000,0.000015
1951,0.000000,0.000013
1952,0.000000,0.000013
1953,0.000000,0.000011
1954,0.000000,0.000011
1955,0.000000,0.000015
1956,0.000000,0.000013
1957,0.000000,0.000011
1958,0.000000,0.000009
1959,0.000000,0.000009
1960,0.000000,0.000007
1961,0.000000,0.000009
1962,0.000000,0.000007
1963,0.000000,0.000011
1964,0.000002,0.000010
1965,0.000000,0.000010
1966,0.000000,0.000011
1967,0.000000,0.000006
1968,0.000000,0.000009
1969,0.000000,0.000010
1970,0.000000,0.000008
1971,0.000000,0.000010
1972,0.000000,0.000010
1973,0.000000,0.000007
1974,0.000000,0.000007
1975,0.000000,0.000008
1976,0.000000,0.000005
1977,0.000000,0.000010
1978,0.000000,0.000006
1979,0.000000,0.000005
1980,0.000000,0.000006
1981,0.000000,0.000007
1982,0.000000,0.000008
1983,0.000000,0.000009
1984,0.000000,0.000007
1985,0.000000,0.000009
1986,0.000000,0.000007
1987,0.000000,0.000007
1988,0.000000,0.000007
1989,0.000000,0.000007
1990,0.000000,0.000009
1991,0.000000,0.000010
1992,0.000000,0.000010
1993,0.000000,0.000013
1994,0.000002,0.000018
1995,0.000002,0.000018
1996,0.000001,0.000019
1997,0.000000,0.000022
1998,0.000002,0.000028
1999,0.000002,0.000048
2000,0.000002,0.000053
2001,0.000004,0.000060
2002,0.000003,0.000071
2003,0.000002,0.000083
2004,0.000002,0.000088
2005,0.000004,0.000105
2006,0.000003,0.000140
2007,0.000003,0.000142
2008,0.000005,0.000146
2009,0.000004,0.000151
2010,0.000005,0.000163
2011,0.000007,0.000165
2012,0.000009,0.000176
