year,Phylis
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,5
1897,0
1898,0
1899,0
1900,6
1901,0
1902,0
1903,5
1904,0
1905,0
1906,0
1907,0
1908,6
1909,8
1910,6
1911,9
1912,16
1913,15
1914,15
1915,35
1916,33
1917,34
1918,48
1919,50
1920,52
1921,33
1922,56
1923,58
1924,73
1925,40
1926,49
1927,49
1928,57
1929,51
1930,74
1931,50
1932,63
1933,56
1934,58
1935,45
1936,66
1937,74
1938,64
1939,75
1940,69
1941,62
1942,82
1943,97
1944,76
1945,67
1946,91
1947,99
1948,104
1949,109
1950,79
1951,65
1952,72
1953,69
1954,58
1955,64
1956,55
1957,71
1958,64
1959,44
1960,58
1961,52
1962,34
1963,35
1964,33
1965,41
1966,36
1967,26
1968,16
1969,14
1970,11
1971,11
1972,7
1973,7
1974,6
1975,12
1976,6
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,5
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
