year,Marylynn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,5
1921,5
1922,12
1923,11
1924,7
1925,0
1926,6
1927,10
1928,9
1929,0
1930,10
1931,8
1932,11
1933,6
1934,7
1935,17
1936,23
1937,16
1938,14
1939,9
1940,17
1941,18
1942,18
1943,40
1944,24
1945,29
1946,34
1947,34
1948,41
1949,36
1950,31
1951,35
1952,35
1953,34
1954,27
1955,30
1956,36
1957,38
1958,37
1959,41
1960,65
1961,52
1962,60
1963,45
1964,54
1965,33
1966,42
1967,27
1968,25
1969,30
1970,22
1971,19
1972,13
1973,30
1974,19
1975,16
1976,9
1977,18
1978,18
1979,21
1980,15
1981,13
1982,14
1983,12
1984,13
1985,8
1986,12
1987,43
1988,47
1989,38
1990,22
1991,26
1992,24
1993,20
1994,15
1995,14
1996,9
1997,10
1998,5
1999,10
2000,13
2001,10
2002,10
2003,6
2004,21
2005,19
2006,18
2007,15
2008,22
2009,19
2010,11
2011,13
2012,16
