year,Madison (F),Madison (M)
1880,0.000000,0.000109
1881,0.000000,0.000145
1882,0.000000,0.000122
1883,0.000000,0.000101
1884,0.000000,0.000082
1885,0.000000,0.000083
1886,0.000000,0.000067
1887,0.000000,0.000073
1888,0.000000,0.000070
1889,0.000000,0.000080
1890,0.000000,0.000046
1891,0.000000,0.000070
1892,0.000000,0.000060
1893,0.000000,0.000037
1894,0.000000,0.000035
1895,0.000000,0.000043
1896,0.000000,0.000039
1897,0.000000,0.000037
1898,0.000000,0.000000
1899,0.000000,0.000038
1900,0.000000,0.000038
1901,0.000000,0.000020
1902,0.000000,0.000018
1903,0.000000,0.000047
1904,0.000000,0.000027
1905,0.000000,0.000031
1906,0.000000,0.000033
1907,0.000000,0.000041
1908,0.000000,0.000023
1909,0.000000,0.000016
1910,0.000000,0.000025
1911,0.000000,0.000033
1912,0.000000,0.000035
1913,0.000000,0.000040
1914,0.000000,0.000040
1915,0.000000,0.000039
1916,0.000000,0.000035
1917,0.000000,0.000030
1918,0.000000,0.000030
1919,0.000000,0.000029
1920,0.000000,0.000029
1921,0.000000,0.000029
1922,0.000000,0.000032
1923,0.000000,0.000033
1924,0.000000,0.000029
1925,0.000000,0.000028
1926,0.000000,0.000024
1927,0.000000,0.000026
1928,0.000000,0.000022
1929,0.000000,0.000025
1930,0.000000,0.000022
1931,0.000000,0.000019
1932,0.000000,0.000020
1933,0.000000,0.000018
1934,0.000000,0.000021
1935,0.000000,0.000022
1936,0.000000,0.000026
1937,0.000000,0.000018
1938,0.000000,0.000014
1939,0.000000,0.000022
1940,0.000000,0.000020
1941,0.000000,0.000011
1942,0.000000,0.000016
1943,0.000000,0.000016
1944,0.000000,0.000016
1945,0.000000,0.000014
1946,0.000000,0.000015
1947,0.000000,0.000017
1948,0.000000,0.000013
1949,0.000000,0.000013
1950,0.000000,0.000009
1951,0.000000,0.000014
1952,0.000000,0.000014
1953,0.000000,0.000011
1954,0.000000,0.000013
1955,0.000000,0.000009
1956,0.000000,0.000009
1957,0.000000,0.000009
1958,0.000000,0.000006
1959,0.000000,0.000009
1960,0.000000,0.000009
1961,0.000000,0.000009
1962,0.000000,0.000007
1963,0.000000,0.000008
1964,0.000000,0.000011
1965,0.000000,0.000010
1966,0.000000,0.000008
1967,0.000000,0.000010
1968,0.000000,0.000008
1969,0.000000,0.000008
1970,0.000001,0.000007
1971,0.000002,0.000008
1972,0.000000,0.000011
1973,0.000000,0.000007
1974,0.000000,0.000008
1975,0.000002,0.000008
1976,0.000000,0.000007
1977,0.000002,0.000008
1978,0.000000,0.000006
1979,0.000002,0.000007
1980,0.000000,0.000009
1981,0.000000,0.000009
1982,0.000000,0.000006
1983,0.000000,0.000007
1984,0.000012,0.000012
1985,0.000084,0.000023
1986,0.000181,0.000022
1987,0.000208,0.000036
1988,0.000222,0.000028
1989,0.000318,0.000034
1990,0.000356,0.000037
1991,0.000634,0.000045
1992,0.000824,0.000047
1993,0.001163,0.000059
1994,0.001685,0.000063
1995,0.002670,0.000073
1996,0.003678,0.000072
1997,0.004191,0.000074
1998,0.004838,0.000058
1999,0.004890,0.000047
2000,0.005287,0.000037
2001,0.005925,0.000034
2002,0.005830,0.000028
2003,0.005317,0.000023
2004,0.005401,0.000054
2005,0.005094,0.000021
2006,0.004711,0.000017
2007,0.004497,0.000017
2008,0.004338,0.000015
2009,0.003992,0.000015
2010,0.003570,0.000009
2011,0.003389,0.000013
2012,0.003122,0.000009
2013,0.002918,0.000011
