year,Manie
1880,10
1881,8
1882,7
1883,5
1884,11
1885,12
1886,14
1887,5
1888,14
1889,6
1890,10
1891,9
1892,9
1893,15
1894,12
1895,10
1896,5
1897,6
1898,13
1899,0
1900,8
1901,0
1902,9
1903,6
1904,9
1905,9
1906,10
1907,7
1908,0
1909,5
1910,7
1911,11
1912,12
1913,11
1914,12
1915,6
1916,13
1917,13
1918,13
1919,11
1920,12
1921,14
1922,10
1923,17
1924,11
1925,12
1926,15
1927,11
1928,6
1929,10
1930,7
1931,11
1932,0
1933,5
1934,8
1935,6
1936,0
1937,0
1938,9
1939,0
1940,0
1941,0
1942,6
1943,0
1944,0
1945,0
1946,6
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
