year,Medina
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,5
1949,0
1950,0
1951,0
1952,6
1953,9
1954,7
1955,14
1956,9
1957,17
1958,14
1959,10
1960,13
1961,15
1962,16
1963,24
1964,17
1965,18
1966,17
1967,18
1968,11
1969,16
1970,16
1971,21
1972,20
1973,24
1974,20
1975,27
1976,24
1977,20
1978,20
1979,21
1980,24
1981,19
1982,14
1983,14
1984,20
1985,23
1986,14
1987,17
1988,19
1989,28
1990,21
1991,29
1992,29
1993,35
1994,36
1995,29
1996,24
1997,28
1998,43
1999,33
2000,41
2001,44
2002,37
2003,38
2004,32
2005,53
2006,33
2007,33
2008,39
2009,41
2010,39
2011,34
2012,32
