year,Michelangelo
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,5
1962,0
1963,0
1964,7
1965,10
1966,5
1967,8
1968,9
1969,8
1970,12
1971,10
1972,8
1973,8
1974,0
1975,11
1976,12
1977,6
1978,7
1979,0
1980,11
1981,0
1982,7
1983,7
1984,7
1985,8
1986,0
1987,9
1988,13
1989,11
1990,18
1991,17
1992,12
1993,13
1994,12
1995,15
1996,16
1997,18
1998,19
1999,19
2000,15
2001,23
2002,29
2003,22
2004,21
2005,19
2006,25
2007,20
2008,27
2009,24
2010,30
2011,33
2012,27
