year,Mervin (F),Mervin (M)
1880,0.000000,0.000030
1881,0.000000,0.000042
1882,0.000000,0.000027
1883,0.000000,0.000032
1884,0.000000,0.000058
1885,0.000000,0.000050
1886,0.000000,0.000031
1887,0.000000,0.000036
1888,0.000000,0.000027
1889,0.000000,0.000031
1890,0.000000,0.000033
1891,0.000000,0.000028
1892,0.000000,0.000030
1893,0.000000,0.000031
1894,0.000000,0.000000
1895,0.000000,0.000040
1896,0.000000,0.000020
1897,0.000000,0.000040
1898,0.000000,0.000034
1899,0.000000,0.000024
1900,0.000000,0.000042
1901,0.000000,0.000029
1902,0.000000,0.000028
1903,0.000000,0.000021
1904,0.000000,0.000025
1905,0.000000,0.000033
1906,0.000000,0.000049
1907,0.000000,0.000045
1908,0.000000,0.000031
1909,0.000000,0.000039
1910,0.000000,0.000041
1911,0.000000,0.000059
1912,0.000000,0.000073
1913,0.000000,0.000084
1914,0.000000,0.000084
1915,0.000000,0.000089
1916,0.000000,0.000089
1917,0.000000,0.000101
1918,0.000000,0.000089
1919,0.000004,0.000100
1920,0.000004,0.000110
1921,0.000003,0.000093
1922,0.000000,0.000097
1923,0.000003,0.000104
1924,0.000000,0.000088
1925,0.000000,0.000086
1926,0.000000,0.000098
1927,0.000000,0.000095
1928,0.000002,0.000096
1929,0.000000,0.000098
1930,0.000000,0.000089
1931,0.000000,0.000086
1932,0.000000,0.000095
1933,0.000000,0.000084
1934,0.000000,0.000080
1935,0.000002,0.000097
1936,0.000000,0.000094
1937,0.000000,0.000090
1938,0.000000,0.000078
1939,0.000000,0.000074
1940,0.000000,0.000065
1941,0.000000,0.000071
1942,0.000000,0.000067
1943,0.000000,0.000056
1944,0.000000,0.000059
1945,0.000000,0.000040
1946,0.000000,0.000045
1947,0.000000,0.000037
1948,0.000000,0.000038
1949,0.000000,0.000035
1950,0.000000,0.000041
1951,0.000000,0.000034
1952,0.000000,0.000026
1953,0.000000,0.000031
1954,0.000000,0.000026
1955,0.000000,0.000027
1956,0.000000,0.000027
1957,0.000000,0.000028
1958,0.000000,0.000026
1959,0.000000,0.000024
1960,0.000000,0.000026
1961,0.000000,0.000027
1962,0.000000,0.000026
1963,0.000000,0.000028
1964,0.000000,0.000023
1965,0.000000,0.000025
1966,0.000000,0.000022
1967,0.000000,0.000026
1968,0.000000,0.000019
1969,0.000000,0.000023
1970,0.000000,0.000024
1971,0.000000,0.000018
1972,0.000000,0.000020
1973,0.000000,0.000017
1974,0.000000,0.000020
1975,0.000000,0.000020
1976,0.000000,0.000016
1977,0.000000,0.000018
1978,0.000000,0.000016
1979,0.000000,0.000017
1980,0.000000,0.000013
1981,0.000000,0.000020
1982,0.000000,0.000015
1983,0.000000,0.000015
1984,0.000000,0.000017
1985,0.000000,0.000013
1986,0.000000,0.000017
1987,0.000000,0.000016
1988,0.000000,0.000015
1989,0.000000,0.000014
1990,0.000000,0.000017
1991,0.000000,0.000018
1992,0.000000,0.000019
1993,0.000000,0.000019
1994,0.000000,0.000014
1995,0.000000,0.000013
1996,0.000000,0.000012
1997,0.000000,0.000015
1998,0.000000,0.000017
1999,0.000000,0.000012
2000,0.000000,0.000012
2001,0.000000,0.000014
2002,0.000000,0.000010
2003,0.000000,0.000013
2004,0.000000,0.000013
2005,0.000000,0.000012
2006,0.000000,0.000015
2007,0.000000,0.000013
2008,0.000000,0.000015
2009,0.000000,0.000015
2010,0.000000,0.000016
2011,0.000000,0.000012
2012,0.000000,0.000015
2013,0.000000,0.000010
