year,Margert
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,5
1901,6
1902,0
1903,7
1904,0
1905,0
1906,5
1907,0
1908,7
1909,9
1910,0
1911,0
1912,10
1913,5
1914,5
1915,8
1916,13
1917,14
1918,14
1919,15
1920,15
1921,16
1922,16
1923,16
1924,21
1925,23
1926,16
1927,14
1928,17
1929,18
1930,14
1931,23
1932,18
1933,14
1934,22
1935,13
1936,15
1937,14
1938,12
1939,19
1940,11
1941,7
1942,12
1943,15
1944,11
1945,8
1946,12
1947,13
1948,13
1949,9
1950,10
1951,13
1952,9
1953,10
1954,12
1955,12
1956,7
1957,9
1958,17
1959,9
1960,9
1961,9
1962,12
1963,8
1964,10
1965,6
1966,11
1967,10
1968,5
1969,7
1970,7
1971,8
1972,6
1973,0
1974,0
1975,5
1976,0
1977,0
1978,0
1979,5
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
