year,Melvia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,5
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,5
1908,6
1909,0
1910,13
1911,0
1912,0
1913,8
1914,8
1915,6
1916,16
1917,6
1918,15
1919,14
1920,13
1921,10
1922,17
1923,19
1924,15
1925,10
1926,20
1927,24
1928,26
1929,13
1930,30
1931,18
1932,13
1933,15
1934,21
1935,11
1936,12
1937,21
1938,25
1939,24
1940,19
1941,22
1942,18
1943,25
1944,17
1945,20
1946,14
1947,23
1948,10
1949,17
1950,19
1951,16
1952,16
1953,14
1954,27
1955,22
1956,14
1957,17
1958,18
1959,16
1960,15
1961,15
1962,7
1963,9
1964,9
1965,6
1966,7
1967,14
1968,5
1969,13
1970,6
1971,0
1972,6
1973,5
1974,9
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,7
1983,0
1984,0
1985,0
1986,5
1987,6
1988,5
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
