year,Malea
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,5
1955,26
1956,19
1957,14
1958,9
1959,8
1960,9
1961,5
1962,10
1963,12
1964,10
1965,13
1966,11
1967,7
1968,11
1969,13
1970,8
1971,12
1972,11
1973,13
1974,12
1975,10
1976,9
1977,15
1978,18
1979,27
1980,21
1981,27
1982,27
1983,18
1984,23
1985,13
1986,12
1987,16
1988,18
1989,17
1990,29
1991,32
1992,30
1993,27
1994,32
1995,35
1996,31
1997,40
1998,54
1999,58
2000,61
2001,65
2002,80
2003,90
2004,76
2005,92
2006,91
2007,96
2008,80
2009,100
2010,84
2011,82
2012,73
