year,Mayola
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,5
1899,6
1900,0
1901,8
1902,0
1903,7
1904,5
1905,7
1906,7
1907,11
1908,13
1909,11
1910,10
1911,13
1912,24
1913,27
1914,23
1915,25
1916,25
1917,37
1918,28
1919,29
1920,30
1921,39
1922,45
1923,42
1924,36
1925,34
1926,35
1927,37
1928,38
1929,27
1930,29
1931,23
1932,25
1933,23
1934,18
1935,19
1936,27
1937,20
1938,13
1939,22
1940,22
1941,12
1942,14
1943,14
1944,13
1945,19
1946,16
1947,15
1948,12
1949,9
1950,16
1951,19
1952,5
1953,10
1954,10
1955,12
1956,8
1957,12
1958,0
1959,8
1960,5
1961,5
1962,5
1963,0
1964,0
1965,9
1966,7
1967,5
1968,6
1969,0
1970,0
1971,7
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,5
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,5
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
