year,Malvin
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,6
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,6
1902,6
1903,0
1904,5
1905,0
1906,9
1907,0
1908,5
1909,7
1910,11
1911,9
1912,22
1913,40
1914,28
1915,49
1916,40
1917,45
1918,39
1919,50
1920,62
1921,68
1922,65
1923,40
1924,62
1925,56
1926,41
1927,58
1928,60
1929,48
1930,59
1931,43
1932,38
1933,32
1934,48
1935,48
1936,30
1937,28
1938,32
1939,33
1940,25
1941,36
1942,34
1943,37
1944,27
1945,28
1946,38
1947,46
1948,36
1949,25
1950,36
1951,31
1952,32
1953,38
1954,33
1955,28
1956,24
1957,27
1958,20
1959,15
1960,18
1961,18
1962,24
1963,19
1964,22
1965,21
1966,16
1967,18
1968,9
1969,16
1970,23
1971,25
1972,14
1973,13
1974,18
1975,13
1976,12
1977,12
1978,16
1979,8
1980,10
1981,13
1982,8
1983,8
1984,11
1985,8
1986,17
1987,9
1988,5
1989,8
1990,13
1991,8
1992,10
1993,8
1994,13
1995,7
1996,7
1997,8
1998,8
1999,6
2000,11
2001,8
2002,10
2003,7
2004,8
2005,10
2006,12
2007,10
2008,8
2009,11
2010,9
2011,14
2012,0
