year,Migel
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,5
1921,0
1922,5
1923,7
1924,0
1925,5
1926,0
1927,10
1928,7
1929,13
1930,8
1931,10
1932,6
1933,0
1934,5
1935,0
1936,7
1937,0
1938,6
1939,0
1940,0
1941,8
1942,5
1943,8
1944,0
1945,5
1946,5
1947,6
1948,9
1949,8
1950,0
1951,11
1952,8
1953,10
1954,8
1955,8
1956,5
1957,13
1958,10
1959,10
1960,5
1961,0
1962,11
1963,0
1964,6
1965,0
1966,13
1967,11
1968,14
1969,7
1970,12
1971,18
1972,22
1973,15
1974,20
1975,23
1976,27
1977,22
1978,20
1979,26
1980,29
1981,40
1982,45
1983,40
1984,22
1985,33
1986,26
1987,37
1988,36
1989,37
1990,45
1991,51
1992,51
1993,52
1994,50
1995,40
1996,35
1997,47
1998,34
1999,43
2000,48
2001,41
2002,38
2003,29
2004,31
2005,35
2006,39
2007,34
2008,34
2009,20
2010,21
2011,10
2012,12
