year,Marylyn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,5
1911,0
1912,0
1913,0
1914,0
1915,7
1916,0
1917,6
1918,9
1919,9
1920,14
1921,12
1922,21
1923,44
1924,43
1925,26
1926,37
1927,41
1928,49
1929,42
1930,59
1931,55
1932,98
1933,96
1934,80
1935,80
1936,238
1937,129
1938,93
1939,93
1940,79
1941,70
1942,92
1943,93
1944,85
1945,66
1946,86
1947,95
1948,60
1949,64
1950,57
1951,41
1952,60
1953,55
1954,43
1955,33
1956,36
1957,22
1958,16
1959,26
1960,24
1961,25
1962,15
1963,16
1964,19
1965,21
1966,15
1967,14
1968,24
1969,23
1970,19
1971,19
1972,18
1973,17
1974,18
1975,13
1976,15
1977,17
1978,13
1979,5
1980,11
1981,11
1982,13
1983,14
1984,7
1985,6
1986,0
1987,15
1988,7
1989,17
1990,17
1991,17
1992,15
1993,17
1994,15
1995,16
1996,10
1997,14
1998,9
1999,17
2000,9
2001,6
2002,12
2003,13
2004,7
2005,0
2006,8
2007,11
2008,17
2009,8
2010,6
2011,5
2012,6
