year,Margarito
1880,0
1881,0
1882,6
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,9
1908,8
1909,7
1910,14
1911,15
1912,17
1913,15
1914,24
1915,22
1916,27
1917,42
1918,42
1919,42
1920,47
1921,78
1922,70
1923,73
1924,60
1925,60
1926,59
1927,82
1928,85
1929,75
1930,60
1931,66
1932,57
1933,55
1934,61
1935,49
1936,50
1937,42
1938,51
1939,50
1940,56
1941,49
1942,54
1943,48
1944,52
1945,63
1946,65
1947,65
1948,51
1949,57
1950,73
1951,65
1952,53
1953,55
1954,59
1955,59
1956,45
1957,42
1958,27
1959,49
1960,39
1961,36
1962,27
1963,34
1964,41
1965,31
1966,26
1967,36
1968,38
1969,41
1970,36
1971,39
1972,48
1973,48
1974,47
1975,35
1976,48
1977,41
1978,48
1979,43
1980,50
1981,44
1982,46
1983,39
1984,40
1985,56
1986,43
1987,44
1988,35
1989,34
1990,53
1991,57
1992,55
1993,58
1994,43
1995,57
1996,39
1997,37
1998,38
1999,35
2000,40
2001,44
2002,38
2003,23
2004,32
2005,32
2006,29
2007,35
2008,40
2009,29
2010,21
2011,17
2012,19
