year,Michaelene
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,6
1934,7
1935,5
1936,0
1937,8
1938,18
1939,20
1940,23
1941,16
1942,27
1943,38
1944,40
1945,24
1946,51
1947,52
1948,59
1949,68
1950,38
1951,44
1952,46
1953,37
1954,49
1955,48
1956,30
1957,34
1958,22
1959,36
1960,29
1961,27
1962,24
1963,22
1964,29
1965,18
1966,30
1967,21
1968,26
1969,21
1970,17
1971,17
1972,23
1973,25
1974,14
1975,28
1976,15
1977,14
1978,9
1979,11
1980,11
1981,12
1982,18
1983,8
1984,11
1985,11
1986,9
1987,14
1988,9
1989,12
1990,10
1991,13
1992,9
1993,9
1994,8
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
