year,Midori
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,7
1916,6
1917,11
1918,6
1919,10
1920,14
1921,21
1922,20
1923,27
1924,19
1925,18
1926,17
1927,12
1928,11
1929,9
1930,12
1931,6
1932,9
1933,6
1934,11
1935,6
1936,0
1937,0
1938,0
1939,0
1940,5
1941,5
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,7
1959,9
1960,8
1961,6
1962,6
1963,5
1964,0
1965,0
1966,5
1967,0
1968,8
1969,5
1970,0
1971,8
1972,12
1973,5
1974,0
1975,0
1976,11
1977,9
1978,5
1979,9
1980,9
1981,0
1982,5
1983,0
1984,10
1985,7
1986,9
1987,8
1988,33
1989,17
1990,21
1991,20
1992,28
1993,25
1994,26
1995,24
1996,25
1997,24
1998,31
1999,31
2000,24
2001,31
2002,22
2003,24
2004,27
2005,24
2006,31
2007,21
2008,25
2009,26
2010,23
2011,24
2012,18
