year,Marlon (F),Marlon (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000004
1915,0.000000,0.000005
1916,0.000000,0.000004
1917,0.000000,0.000005
1918,0.000000,0.000000
1919,0.000000,0.000004
1920,0.000000,0.000010
1921,0.000000,0.000006
1922,0.000000,0.000004
1923,0.000004,0.000007
1924,0.000000,0.000010
1925,0.000000,0.000009
1926,0.000000,0.000007
1927,0.000000,0.000009
1928,0.000000,0.000011
1929,0.000000,0.000013
1930,0.000002,0.000010
1931,0.000000,0.000012
1932,0.000000,0.000011
1933,0.000003,0.000013
1934,0.000000,0.000010
1935,0.000000,0.000015
1936,0.000000,0.000013
1937,0.000000,0.000012
1938,0.000000,0.000009
1939,0.000000,0.000011
1940,0.000000,0.000008
1941,0.000000,0.000016
1942,0.000000,0.000015
1943,0.000000,0.000011
1944,0.000000,0.000008
1945,0.000003,0.000011
1946,0.000000,0.000009
1947,0.000000,0.000008
1948,0.000000,0.000008
1949,0.000000,0.000010
1950,0.000000,0.000015
1951,0.000000,0.000019
1952,0.000000,0.000026
1953,0.000000,0.000022
1954,0.000002,0.000051
1955,0.000002,0.000111
1956,0.000002,0.000089
1957,0.000002,0.000070
1958,0.000001,0.000083
1959,0.000001,0.000064
1960,0.000001,0.000071
1961,0.000000,0.000073
1962,0.000001,0.000072
1963,0.000002,0.000088
1964,0.000000,0.000069
1965,0.000002,0.000072
1966,0.000000,0.000075
1967,0.000003,0.000091
1968,0.000004,0.000070
1969,0.000000,0.000066
1970,0.000002,0.000127
1971,0.000003,0.000223
1972,0.000003,0.000327
1973,0.000007,0.000299
1974,0.000005,0.000249
1975,0.000004,0.000212
1976,0.000005,0.000245
1977,0.000003,0.000205
1978,0.000003,0.000167
1979,0.000004,0.000178
1980,0.000002,0.000156
1981,0.000003,0.000124
1982,0.000001,0.000130
1983,0.000000,0.000116
1984,0.000002,0.000136
1985,0.000003,0.000143
1986,0.000003,0.000113
1987,0.000000,0.000115
1988,0.000002,0.000132
1989,0.000002,0.000107
1990,0.000002,0.000119
1991,0.000000,0.000123
1992,0.000002,0.000118
1993,0.000001,0.000116
1994,0.000000,0.000120
1995,0.000002,0.000121
1996,0.000000,0.000128
1997,0.000001,0.000132
1998,0.000000,0.000120
1999,0.000000,0.000118
2000,0.000002,0.000120
2001,0.000000,0.000121
2002,0.000000,0.000120
2003,0.000000,0.000121
2004,0.000000,0.000120
2005,0.000000,0.000124
2006,0.000000,0.000129
2007,0.000000,0.000117
2008,0.000000,0.000116
2009,0.000000,0.000100
2010,0.000000,0.000111
2011,0.000000,0.000100
2012,0.000000,0.000093
2013,0.000000,0.000090
2014,0.000000,0.000086
2015,0.000000,0.000075
2016,0.000000,0.000078
2017,0.000000,0.000082
2018,0.000000,0.000074
2019,0.000000,0.000075
2020,0.000000,0.000065
