year,Mallory (F),Mallory (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000004
1915,0.000000,0.000000
1916,0.000000,0.000004
1917,0.000000,0.000000
1918,0.000000,0.000005
1919,0.000000,0.000000
1920,0.000000,0.000004
1921,0.000000,0.000002
1922,0.000000,0.000003
1923,0.000000,0.000004
1924,0.000000,0.000004
1925,0.000000,0.000003
1926,0.000000,0.000000
1927,0.000000,0.000003
1928,0.000000,0.000004
1929,0.000000,0.000004
1930,0.000000,0.000002
1931,0.000000,0.000002
1932,0.000000,0.000000
1933,0.000000,0.000004
1934,0.000000,0.000004
1935,0.000000,0.000005
1936,0.000000,0.000000
1937,0.000000,0.000004
1938,0.000002,0.000004
1939,0.000002,0.000005
1940,0.000000,0.000004
1941,0.000000,0.000004
1942,0.000003,0.000005
1943,0.000003,0.000003
1944,0.000003,0.000005
1945,0.000002,0.000004
1946,0.000003,0.000004
1947,0.000003,0.000004
1948,0.000009,0.000007
1949,0.000010,0.000006
1950,0.000007,0.000007
1951,0.000007,0.000006
1952,0.000007,0.000004
1953,0.000007,0.000006
1954,0.000003,0.000003
1955,0.000008,0.000004
1956,0.000008,0.000004
1957,0.000006,0.000007
1958,0.000007,0.000003
1959,0.000006,0.000004
1960,0.000003,0.000004
1961,0.000006,0.000004
1962,0.000006,0.000005
1963,0.000006,0.000004
1964,0.000005,0.000005
1965,0.000005,0.000004
1966,0.000008,0.000005
1967,0.000006,0.000004
1968,0.000007,0.000004
1969,0.000006,0.000004
1970,0.000005,0.000005
1971,0.000009,0.000009
1972,0.000007,0.000004
1973,0.000007,0.000007
1974,0.000006,0.000003
1975,0.000010,0.000007
1976,0.000009,0.000006
1977,0.000011,0.000006
1978,0.000007,0.000003
1979,0.000008,0.000005
1980,0.000005,0.000002
1981,0.000008,0.000003
1982,0.000013,0.000003
1983,0.000199,0.000003
1984,0.000422,0.000004
1985,0.000571,0.000006
1986,0.000935,0.000006
1987,0.000871,0.000007
1988,0.000641,0.000005
1989,0.000513,0.000004
1990,0.000451,0.000004
1991,0.000463,0.000003
1992,0.000458,0.000004
1993,0.000425,0.000003
1994,0.000432,0.000000
1995,0.000463,0.000003
1996,0.000447,0.000002
1997,0.000439,0.000002
1998,0.000415,0.000003
1999,0.000402,0.000002
2000,0.000388,0.000002
2001,0.000357,0.000000
2002,0.000337,0.000002
2003,0.000376,0.000000
2004,0.000479,0.000003
2005,0.000413,0.000000
2006,0.000372,0.000000
2007,0.000352,0.000002
2008,0.000345,0.000000
2009,0.000317,0.000000
2010,0.000318,0.000000
2011,0.000300,0.000000
2012,0.000263,0.000000
2013,0.000272,0.000000
