year,Milford (F),Milford (M)
1880,0.000000,0.000030
1881,0.000000,0.000047
1882,0.000000,0.000036
1883,0.000000,0.000051
1884,0.000000,0.000045
1885,0.000000,0.000037
1886,0.000000,0.000063
1887,0.000000,0.000024
1888,0.000000,0.000030
1889,0.000000,0.000028
1890,0.000000,0.000040
1891,0.000000,0.000017
1892,0.000000,0.000054
1893,0.000000,0.000040
1894,0.000000,0.000050
1895,0.000000,0.000043
1896,0.000000,0.000053
1897,0.000000,0.000029
1898,0.000000,0.000031
1899,0.000000,0.000035
1900,0.000000,0.000049
1901,0.000000,0.000032
1902,0.000000,0.000047
1903,0.000000,0.000034
1904,0.000000,0.000074
1905,0.000000,0.000050
1906,0.000000,0.000058
1907,0.000000,0.000060
1908,0.000000,0.000051
1909,0.000000,0.000065
1910,0.000000,0.000056
1911,0.000000,0.000087
1912,0.000000,0.000100
1913,0.000000,0.000113
1914,0.000000,0.000092
1915,0.000000,0.000106
1916,0.000000,0.000101
1917,0.000000,0.000115
1918,0.000000,0.000099
1919,0.000000,0.000097
1920,0.000000,0.000101
1921,0.000000,0.000100
1922,0.000000,0.000099
1923,0.000003,0.000097
1924,0.000000,0.000098
1925,0.000000,0.000100
1926,0.000000,0.000092
1927,0.000000,0.000084
1928,0.000000,0.000089
1929,0.000000,0.000084
1930,0.000000,0.000077
1931,0.000000,0.000076
1932,0.000000,0.000072
1933,0.000000,0.000078
1934,0.000000,0.000072
1935,0.000003,0.000070
1936,0.000000,0.000065
1937,0.000000,0.000067
1938,0.000000,0.000064
1939,0.000000,0.000054
1940,0.000000,0.000060
1941,0.000000,0.000045
1942,0.000000,0.000041
1943,0.000000,0.000046
1944,0.000000,0.000041
1945,0.000000,0.000043
1946,0.000000,0.000033
1947,0.000000,0.000028
1948,0.000000,0.000031
1949,0.000000,0.000030
1950,0.000000,0.000024
1951,0.000000,0.000021
1952,0.000000,0.000021
1953,0.000000,0.000021
1954,0.000000,0.000017
1955,0.000000,0.000018
1956,0.000000,0.000018
1957,0.000000,0.000012
1958,0.000000,0.000015
1959,0.000000,0.000013
1960,0.000000,0.000012
1961,0.000000,0.000016
1962,0.000000,0.000011
1963,0.000000,0.000011
1964,0.000000,0.000010
1965,0.000000,0.000012
1966,0.000000,0.000007
1967,0.000000,0.000009
1968,0.000000,0.000012
1969,0.000000,0.000008
1970,0.000000,0.000008
1971,0.000000,0.000006
1972,0.000000,0.000007
1973,0.000000,0.000008
1974,0.000000,0.000006
1975,0.000000,0.000007
1976,0.000000,0.000009
1977,0.000000,0.000006
1978,0.000000,0.000003
1979,0.000000,0.000005
1980,0.000000,0.000005
1981,0.000000,0.000004
1982,0.000000,0.000004
1983,0.000000,0.000003
1984,0.000000,0.000002
1985,0.000000,0.000004
1986,0.000000,0.000002
1987,0.000000,0.000003
1988,0.000000,0.000002
1989,0.000000,0.000002
1990,0.000000,0.000003
1991,0.000000,0.000002
1992,0.000000,0.000003
1993,0.000000,0.000000
1994,0.000000,0.000002
1995,0.000000,0.000000
1996,0.000000,0.000000
1997,0.000000,0.000000
1998,0.000000,0.000000
1999,0.000000,0.000000
2000,0.000000,0.000002
2001,0.000000,0.000000
2002,0.000000,0.000000
2003,0.000000,0.000000
2004,0.000000,0.000000
2005,0.000000,0.000000
2006,0.000000,0.000000
2007,0.000000,0.000000
2008,0.000000,0.000000
2009,0.000000,0.000000
2010,0.000000,0.000000
2011,0.000000,0.000000
2012,0.000000,0.000000
