year,Mark (F),Mark (M)
1880,0.000000,0.000422
1881,0.000000,0.000488
1882,0.000000,0.000406
1883,0.000000,0.000419
1884,0.000000,0.000394
1885,0.000000,0.000307
1886,0.000000,0.000415
1887,0.000000,0.000307
1888,0.000000,0.000384
1889,0.000000,0.000350
1890,0.000000,0.000275
1891,0.000000,0.000300
1892,0.000015,0.000257
1893,0.000000,0.000283
1894,0.000015,0.000248
1895,0.000014,0.000291
1896,0.000000,0.000333
1897,0.000000,0.000300
1898,0.000000,0.000283
1899,0.000000,0.000262
1900,0.000013,0.000304
1901,0.000014,0.000266
1902,0.000000,0.000269
1903,0.000000,0.000212
1904,0.000000,0.000283
1905,0.000000,0.000222
1906,0.000012,0.000198
1907,0.000015,0.000208
1908,0.000014,0.000137
1909,0.000000,0.000198
1910,0.000012,0.000222
1911,0.000000,0.000220
1912,0.000006,0.000287
1913,0.000008,0.000307
1914,0.000006,0.000273
1915,0.000008,0.000289
1916,0.000003,0.000295
1917,0.000008,0.000263
1918,0.000004,0.000289
1919,0.000006,0.000278
1920,0.000006,0.000260
1921,0.000005,0.000268
1922,0.000006,0.000292
1923,0.000005,0.000286
1924,0.000006,0.000282
1925,0.000008,0.000279
1926,0.000004,0.000306
1927,0.000006,0.000302
1928,0.000006,0.000288
1929,0.000005,0.000263
1930,0.000005,0.000266
1931,0.000007,0.000316
1932,0.000003,0.000339
1933,0.000000,0.000347
1934,0.000007,0.000339
1935,0.000004,0.000377
1936,0.000003,0.000343
1937,0.000002,0.000380
1938,0.000000,0.000408
1939,0.000004,0.000393
1940,0.000003,0.000506
1941,0.000002,0.000667
1942,0.000003,0.000746
1943,0.000004,0.000892
1944,0.000000,0.001019
1945,0.000003,0.001336
1946,0.000004,0.001668
1947,0.000003,0.002157
1948,0.000004,0.002974
1949,0.000006,0.003939
1950,0.000009,0.004740
1951,0.000007,0.005757
1952,0.000010,0.006762
1953,0.000010,0.007613
1954,0.000013,0.009094
1955,0.000014,0.010521
1956,0.000020,0.011845
1957,0.000020,0.012570
1958,0.000028,0.012746
1959,0.000031,0.013693
1960,0.000032,0.014138
1961,0.000038,0.013951
1962,0.000032,0.013259
1963,0.000031,0.012466
1964,0.000031,0.011643
1965,0.000033,0.010552
1966,0.000036,0.010014
1967,0.000042,0.010287
1968,0.000046,0.010483
1969,0.000040,0.009609
1970,0.000038,0.008729
1971,0.000033,0.007324
1972,0.000026,0.006839
1973,0.000031,0.006755
1974,0.000037,0.006221
1975,0.000029,0.005545
1976,0.000025,0.005112
1977,0.000026,0.004860
1978,0.000029,0.004684
1979,0.000027,0.004326
1980,0.000023,0.004113
1981,0.000025,0.003915
1982,0.000028,0.003955
1983,0.000028,0.003990
1984,0.000021,0.003789
1985,0.000025,0.003698
1986,0.000024,0.003546
1987,0.000018,0.003328
1988,0.000023,0.003169
1989,0.000013,0.002945
1990,0.000011,0.002704
1991,0.000007,0.002485
1992,0.000005,0.002276
1993,0.000005,0.002138
1994,0.000006,0.002014
1995,0.000006,0.001881
1996,0.000004,0.001809
1997,0.000004,0.001701
1998,0.000004,0.001602
1999,0.000003,0.001518
2000,0.000003,0.001383
2001,0.000003,0.001270
2002,0.000003,0.001130
2003,0.000001,0.001060
2004,0.000003,0.000987
2005,0.000002,0.000918
2006,0.000002,0.000822
2007,0.000001,0.000744
2008,0.000000,0.000742
2009,0.000000,0.000675
2010,0.000002,0.000654
2011,0.000000,0.000664
2012,0.000000,0.000603
2013,0.000002,0.000606
2014,0.000002,0.000591
2015,0.000000,0.000561
2016,0.000000,0.000564
2017,0.000000,0.000544
2018,0.000000,0.000532
2019,0.000000,0.000486
2020,0.000000,0.000466
