year,Malisa
1880,0
1881,0
1882,0
1883,0
1884,0
1885,6
1886,0
1887,0
1888,0
1889,5
1890,5
1891,0
1892,5
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,5
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,6
1956,0
1957,6
1958,14
1959,10
1960,11
1961,17
1962,19
1963,28
1964,29
1965,57
1966,67
1967,68
1968,77
1969,79
1970,85
1971,92
1972,94
1973,104
1974,77
1975,88
1976,84
1977,68
1978,91
1979,82
1980,71
1981,47
1982,43
1983,49
1984,46
1985,38
1986,50
1987,58
1988,64
1989,46
1990,45
1991,54
1992,43
1993,32
1994,37
1995,23
1996,25
1997,15
1998,17
1999,12
2000,12
2001,15
2002,7
2003,13
2004,11
2005,12
2006,10
2007,7
2008,11
2009,7
2010,7
2011,0
2012,6
