year,Maeola
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,6
1910,5
1911,6
1912,5
1913,5
1914,7
1915,11
1916,7
1917,12
1918,14
1919,13
1920,10
1921,14
1922,12
1923,13
1924,16
1925,13
1926,18
1927,15
1928,18
1929,13
1930,6
1931,12
1932,10
1933,12
1934,10
1935,10
1936,12
1937,11
1938,10
1939,5
1940,6
1941,8
1942,12
1943,9
1944,8
1945,6
1946,7
1947,5
1948,6
1949,0
1950,8
1951,9
1952,8
1953,5
1954,5
1955,0
1956,5
1957,0
1958,0
1959,0
1960,0
1961,7
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
